date,survey,sampling_bout,site,hakai_id,source,line_out_depth,filter_type,volume,no2_no3_um,no2_no3_units,po4,sio2
2017-01-18,KWAK_PP;KWAK,5,PRUTH,NUT8000,M,0,0.45nm,13,18.64397068,uM,1.545354019,33.33238827
2017-01-18,KWAK_PP;KWAK,5,PRUTH,NUT8001,M,5,0.45nm,13,18.85624359,uM,1.564520424,33.80334771
2017-01-18,KWAK_PP;KWAK,5,PRUTH,NUT8002,M,10,0.45nm,13,18.79803752,uM,1.559730702,32.95222702
2017-01-18,KWAK_PP;KWAK,5,PRUTH,NUT8003,M,20,0.45nm,13,19.19705166,uM,1.563855568,33.53380007
2017-01-18,KWAK_PP;KWAK,5,PRUTH,NUT8004,M,30,0.45nm,13,19.27810823,uM,1.604095755,33.90190055
2017-01-18,KWAK_PP;KWAK,6,PRUTH,NUT8005,M,50,0.45nm,13,19.1392462,uM,1.625997132,33.71027573
2017-01-18,KWAK_PP;KWAK,6,PRUTH,NUT8006,M,60,0.45nm,13,19.58236214,uM,1.583005177,34.17135733
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8014,M,0,0.45nm,13,18.28078548,uM,1.531986159,32.71967583
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8015,M,5,0.45nm,13,18.76535733,uM,1.585238611,33.03171334
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8016,M,10,0.45nm,13,17.02712817,uM,1.361738851,29.36200797
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8017,M,30,0.45nm,13,11.82271185,uM,1.077261214,18.70502
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8018,M,50,0.45nm,13,10.92872158,uM,0.863937579,16.94197559
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8019,M,100,0.45nm,13,11.51090122,uM,1.010338504,17.61543734
2017-01-23,QCS_V1;KWY_V2,2,QCS01,NUT8020,M,115,0.45nm,13,11.59203396,uM,1.038478245,17.604675
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8051,M,0,0.45nm,13,15.50617914,uM,1.248378152,27.56587066
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8052,M,5,0.45nm,13,15.56235724,uM,1.311303003,27.42506617
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8053,M,10,0.45nm,13,15.39591916,uM,1.212063798,27.28797184
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8054,M,30,0.45nm,13,13.09686375,uM,1.121904064,22.60364149
