date,survey,sampling_bout,site,hakai_id,source,line_out_depth,filter_type,volume,no2_no3_um,no2_no3_units,po4,sio2
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8055,M,50,0.45nm,13,11.52935478,uM,0.997732321,19.65320497
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8056,M,100,0.45nm,13,12.1070319,uM,1.069708297,19.97221127
2017-02-23,QCSD;QCS_V1,1,QCS01,NUT8057,M,115,0.45nm,13,13.60340523,uM,1.190558137,20.38265037
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8033,M,0,0.45nm,13,14.55137812,uM,1.094342381,30.88435323
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8034,M,5,0.45nm,13,15.90148641,uM,1.268935552,30.84435251
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8035,M,10,0.45nm,13,16.58840926,uM,1.384674784,30.63962619
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8036,M,20,0.45nm,13,16.91043055,uM,1.396664891,30.4797369
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8037,M,30,0.45nm,13,17.39895044,uM,1.458536885,30.61638318
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8039,M,50,0.45nm,13,18.05509847,uM,1.454350009,30.89878681
2017-02-24,KWAK;KWAK_PP,5,PRUTH,NUT8038,M,60,0.45nm,13,17.8197665,uM,1.432424421,31.02528212
2017-03-16,KWAK_PP,5,PRUTH,NUT8068,M,0,0.45nm,13,15.26974793,uM,1.180309314,29.2620096
2017-03-16,KWAK_PP,5,PRUTH,NUT8069,M,5,0.45nm,13,16.6073924,uM,1.476653737,31.5157027
2017-03-16,KWAK_PP,5,PRUTH,NUT8070,M,10,0.45nm,13,16.7984578,uM,1.378893932,30.80023915
2017-03-16,KWAK_PP,5,PRUTH,NUT8071,M,20,0.45nm,13,16.69875316,uM,1.436782977,30.73507613
2017-03-16,KWAK_PP,5,PRUTH,NUT8072,M,30,0.45nm,13,17.07860208,uM,1.440793495,31.08738151
2017-03-16,KWAK_PP,5,PRUTH,NUT8073,M,40,0.45nm,13,17.58045962,uM,1.447582485,31.96676725
2017-03-16,KWAK_PP,5,PRUTH,NUT8074,M,50,0.45nm,13,17.80923621,uM,1.467555193,32.1867438
2017-03-16,KWAK_PP,5,PRUTH,NUT8075,M,60,0.45nm,13,17.9011758,uM,1.429663484,32.29788991
2017-03-20,QCSD;QCS_V1;KWY,4,QCS01,NUT8129,M,115,0.45nm,13,15.07932819,uM,1.203234055,23.39180377
2017-03-20,QCS_V1,2,QCS01,NUT8123,M,0,0.45nm,13,15.73734131,uM,1.310987202,28.74351185
2017-03-20,QCS_V1,2,QCS01,NUT8124,M,5,0.45nm,13,15.68329177,uM,1.316782284,28.88524685
2017-03-20,QCS_V1,2,QCS01,NUT8125,M,10,0.45nm,13,14.79235099,uM,1.156904,28.16047052
2017-03-20,QCS_V1,2,QCS01,NUT8126,M,20,0.45nm,13,14.16700718,uM,1.089614324,25.67023984
2017-03-20,QCS_V1,2,QCS01,NUT8127,M,50,0.45nm,13,14.20601948,uM,1.064947119,25.63674868
2017-03-20,QCS_V1,2,QCS01,NUT8128,M,100,0.45nm,13,13.83367737,uM,1.18128226,24.50889167
2017-03-24,KWAK_PP,1,PRUTH,NUT8133,M,0,0.45nm,13,12.92140408,uM,1.124512601,27.38308018
2017-03-24,KWAK_PP,1,PRUTH,NUT8134,M,5,0.45nm,13,15.11082574,uM,1.292159256,29.34042947
2017-03-24,KWAK_PP,1,PRUTH,NUT8135,M,10,0.45nm,13,16.31065243,uM,1.367013194,30.25371161
2017-03-24,KWAK_PP,1,PRUTH,NUT8136,M,20,0.45nm,13,16.11265513,uM,1.264254821,29.81856966
2017-03-24,KWAK_PP,1,PRUTH,NUT8137,M,30,0.45nm,13,15.63146829,uM,1.172469988,28.6084187
2017-03-26,QCS_V2,1,NBCH01,NUT8145,M,0,0.45nm,13,12.94686984,uM,1.156480765,24.46495129
2017-03-26,QCS_V2,1,WBCH01,NUT8150,M,0,0.45nm,13,13.01041307,uM,1.126116761,24.91763512
2017-03-26,QCS_V2,1,NBCH01,NUT8146,M,5,0.45nm,13,12.94192645,uM,1.183618701,24.24052955
2017-03-26,QCS_V2,1,WBCH01,NUT8151,M,5,0.45nm,13,13.06796908,uM,1.181958561,24.93179725
2017-03-26,QCS_V2,1,NBCH01,NUT8147,M,10,0.45nm,13,12.94482577,uM,1.131981361,23.81389412
2017-04-02,ROCKY,1,ROCKY02,NUT7627,M,0,0.45nm,13,7.58541869,uM,0.694634843,13.89266161
2017-04-02,ROCKY,2,ROCKY02,NUT7628,M,0,0.45nm,13,7.503676372,uM,0.670630652,13.89537484
2017-04-02,ROCKY,3,ROCKY02,NUT7629,M,0,0.45nm,13,7.591991794,uM,0.634680823,13.89102773
2017-04-02,ROCKY,2,ROCKY06,NUT7630,M,0,0.45nm,13,7.285770635,uM,0.595686285,13.51388447
2017-04-02,ROCKY,1,ROCKY06,NUT7631,M,0,0.45nm,13,7.349917789,uM,0.689593739,13.53699547
2017-04-02,ROCKY,3,ROCKY06,NUT7632,M,0,0.45nm,13,7.423194941,uM,0.68060401,13.55959097
2017-04-03,ROCKY,1,ROCKY03,NUT7680,M,0,0.45nm,13,7.703381509,uM,0.655014641,14.29661588
2017-04-07,KWAK_PP,5,PRUTH,NUT8152,M,0,0.45nm,13,9.90943881,uM,0.829355341,18.8337044
2017-04-07,KWAK_PP,5,PRUTH,NUT8153,M,5,0.45nm,13,10.09496483,uM,0.961564155,19.15964196
2017-04-07,KWAK_PP,5,PRUTH,NUT8154,M,10,0.45nm,13,10.17535407,uM,0.960678619,19.06117864
2017-04-07,KWAK_PP,6,PRUTH,NUT8155,M,20,0.45nm,13,9.680832465,uM,0.901052954,18.10011973
2017-04-07,KWAK_PP,5,PRUTH,NUT8156,M,30,0.45nm,13,10.35926445,uM,0.900161527,19.30416951
2017-04-07,KWAK_PP,5,PRUTH,NUT8157,M,40,0.45nm,13,10.56314892,uM,0.958824198,19.48793181
2017-04-07,KWAK_PP,5,PRUTH,NUT8158,M,50,0.45nm,13,10.5189816,uM,0.999631734,19.83665632
2017-04-07,KWAK_PP,5,PRUTH,NUT8159,M,60,0.45nm,13,12.02792113,uM,1.029527688,22.20856089
2017-04-14,QCS_V1,3,QCS01,NUT8207,M,0,0.45nm,13,8.783937917,uM,0.815319691,16.1830986
2017-04-14,QCS_V1,3,QCS01,NUT8208,M,5,0.45nm,13,8.744089202,uM,0.822398018,16.23269165
2017-04-14,QCS_V1,3,QCS01,NUT8209,M,10,0.45nm,13,8.7718552,uM,0.823488931,16.30918544
2017-04-14,QCS_V1,3,QCS01,NUT8210,M,20,0.45nm,13,8.999598777,uM,0.852531957,16.35779388
2017-04-14,QCS_V1,3,QCS01,NUT8211,M,30,0.45nm,13,8.982313313,uM,0.870599206,16.2529868
2017-04-14,QCS_V1,3,QCS01,NUT8212,M,50,0.45nm,13,9.077601007,uM,0.887569126,16.23215972
2017-04-14,QCS_V1,3,QCS01,NUT8213,M,100,0.45nm,13,9.638983028,uM,0.921580097,16.97480073
2017-04-14,QCS_V1,3,QCS01,NUT8214,M,115,0.45nm,13,13.69340915,uM,1.198987137,24.16948748
2017-04-14,ROCKY,1,ROCKY05,NUT7681,M,0,0.45nm,13,2.751078751,uM,0.406554457,6.017747784
2017-04-14,ROCKY,2,ROCKY05,NUT7682,M,0,0.45nm,13,2.907741974,uM,0.409406669,5.846159647
2017-04-14,ROCKY,3,ROCKY05,NUT7683,M,0,0.45nm,13,,,,
2017-04-15,KWAK_PP,1,PRUTH,NUT8215,M,0,0.45nm,13,0.078718899,uM,0.007001067,0.435128671
2017-04-15,KWAK_PP,1,PRUTH,NUT8216,M,5,0.45nm,13,0.114693867,uM,0.013886659,0.348689919
2017-04-15,KWAK_PP,1,PRUTH,NUT8217,M,10,0.45nm,13,1.900482944,uM,0.230958392,3.002083408
2017-04-15,KWAK_PP,1,PRUTH,NUT8218,M,20,0.45nm,13,5.307618545,uM,0.483165655,8.55594419
2017-04-15,KWAK_PP,1,PRUTH,NUT8219,M,30,0.45nm,13,9.137766588,uM,0.843402149,16.34483882
2017-04-16,QCS_V2,1,NBCH01,NUT8239,M,0,0.45nm,13,6.042916766,uM,0.564,10.62653459
2017-04-16,QCS_V2,2,WBCH01,NUT8244,M,0,0.45nm,13,4.305901293,uM,0.493,9.023414911
2017-04-16,QCS_V2,1,NBCH01,NUT8240,M,5,0.45nm,13,6.216319075,uM,0.592,10.62458532
2017-04-16,QCS_V2,2,WBCH01,NUT8245,M,5,0.45nm,13,5.712063648,uM,0.555,11.08113148
2017-04-16,QCS_V2,3,NBCH01,NUT8241,M,10,0.45nm,13,6.300039396,uM,0.623,11.13260919
2017-04-27,KWAK_PP,4,PRUTH,NUT8246,M,0,0.45nm,13,3.293599339,uM,0.437554451,7.587542407
2017-04-27,KWAK_PP,4,PRUTH,NUT8247,M,5,0.45nm,13,4.036653676,uM,0.518346103,9.268325984
2017-04-27,KWAK_PP,4,PRUTH,NUT8248,M,10,0.45nm,13,4.878756778,uM,0.600152885,10.37682788
2017-04-27,KWAK_PP,4,PRUTH,NUT8249,M,20,0.45nm,13,5.926624281,uM,0.692945583,12.00814593
2017-04-27,KWAK_PP,4,PRUTH,NUT8250,M,30,0.45nm,13,6.778068488,uM,0.776784781,13.05915308
2017-04-27,KWAK_PP,4,PRUTH,NUT8251,M,40,0.45nm,13,7.717657877,uM,0.839038479,14.69975655
2017-04-27,KWAK_PP,4,PRUTH,NUT8252,M,50,0.45nm,13,7.942373587,uM,0.865846035,15.13897846
2017-04-27,KWAK_PP,4,PRUTH,NUT8253,M,60,0.45nm,13,8.367434204,uM,0.88965878,15.82995761
2017-05-03,QCS_V1,1,QCS01,NUT8412,M,0,0.45nm,13,0.273272739,uM,0.071052755,3.946972947
2017-05-03,QCS_V1,1,QCS01,NUT8413,M,5,0.45nm,13,0.354315714,uM,0.127753255,3.992483722
2017-05-03,QCS_V1,1,QCS01,NUT8414,M,10,0.45nm,13,0.502730138,uM,0.119571272,4.068711303
2017-05-03,QCS_V1,1,QCS01,NUT8415,M,20,0.45nm,13,0.39681494,uM,0.100036681,3.870456698
2017-05-03,QCS_V1,1,QCS01,NUT8416,M,30,0.45nm,13,0.449272891,uM,0.134137339,3.914975492
2017-05-03,QCS_V1,1,QCS01,NUT8417,M,50,0.45nm,13,1.499020984,uM,0.256150925,5.4060551
2017-05-03,QCS_V1,1,QCS01,NUT8418,M,100,0.45nm,13,8.331700456,uM,0.70499039,12.41955563
2017-05-03,QCS_V1,1,QCS01,NUT8419,M,115,0.45nm,13,10.52839136,uM,0.847235832,13.9296262
2017-05-05,KWAK_PP,1,PRUTH,NUT8420,M,0,0.45nm,13,1.472529959,uM,0.239,6.955578564
2017-05-05,KWAK_PP,1,PRUTH,NUT8421,M,5,0.45nm,13,2.140069684,uM,0.348,7.728872049
2017-05-05,KWAK_PP,1,PRUTH,NUT8422,M,10,0.45nm,13,2.900020739,uM,0.389,8.113050312
2017-05-05,KWAK_PP,1,PRUTH,NUT8423,M,20,0.45nm,13,3.01800288,uM,0.455,8.614064139
2017-05-05,KWAK_PP,1,PRUTH,NUT8424,M,30,0.45nm,13,3.476380639,uM,0.46,9.225824006
2017-05-06,QCS_V2,2,NBCH01,NUT8432,M,0,0.45nm,13,1.145125361,uM,0.219373395,5.9822936
2017-05-06,QCS_V2,2,WBCH01,NUT8437,M,0,0.45nm,13,0.687080324,uM,0.216853596,5.992638706
2017-05-06,QCS_V2,2,NBCH01,NUT8433,M,5,0.45nm,13,1.043888874,uM,0.246530363,5.713733655
2017-05-06,QCS_V2,2,WBCH01,NUT8438,M,5,0.45nm,13,1.078334207,uM,0.220840961,6.053306391
2017-05-06,QCS_V2,2,NBCH01,NUT8434,M,10,0.45nm,13,1.277646376,uM,0.268511232,6.081131852
2017-05-11,ROCKY,1,ROCKY02,NUT7688,M,0,0.45nm,13,0.207250752,uM,0.724911898,9.810411009
2017-05-12,ROCKY,1,ROCKY06,NUT7689,M,0,0.45nm,13,0.040632691,uM,0.267322128,3.544602781
2017-05-14,ROCKY,1,ROCKY05,NUT7686,M,0,0.45nm,13,0.673335205,uM,0.259394948,2.78664377
2017-05-18,KWAK_PP,1,PRUTH,NUT8460,M,0,0.45nm,13,0.022755535,uM,0,1.142864012
2017-05-18,KWAK_PP,1,PRUTH,NUT8461,M,5,0.45nm,13,1.974231155,uM,0.240179475,6.399362773
2017-05-18,KWAK_PP,1,PRUTH,NUT8462,M,10,0.45nm,13,5.292862127,uM,0.542432663,10.54685064
2017-05-18,KWAK_PP,1,PRUTH,NUT8463,M,20,0.45nm,13,7.708683254,uM,0.795999519,14.87814694
2017-05-18,KWAK_PP,1,PRUTH,NUT8464,M,30,0.45nm,13,10.77654173,uM,1.028163877,19.04187902
2017-05-18,KWAK_PP,1,PRUTH,NUT8465,M,40,0.45nm,13,13.48814472,uM,1.137757531,22.40378745
2017-05-18,KWAK_PP,1,PRUTH,NUT8466,M,50,0.45nm,13,15.32065889,uM,1.204444584,25.42777347
2017-05-18,KWAK_PP,1,PRUTH,NUT8467,M,60,0.45nm,13,18.21463971,uM,1.427911496,30.90150697
2017-05-19,ROCKY,1,ROCKY04,NUT7698,M,0,0.45nm,13,0.319167182,uM,0.289433024,3.838533833
2017-05-25,KWAK_PP,1,PRUTH,NUT8502,M,0,0.45nm,13,0.899738639,uM,0.145711562,3.817647464
2017-05-25,KWAK_PP,1,PRUTH,NUT8503,M,5,0.45nm,13,1.552524403,uM,0.191791648,4.688894366
2017-05-25,KWAK_PP,1,PRUTH,NUT8504,M,10,0.45nm,13,10.62410552,uM,0.921574181,17.61811743
2017-05-25,KWAK_PP,1,PRUTH,NUT8505,M,20,0.45nm,13,15.81888805,uM,1.205951112,25.15206787
2017-05-25,KWAK_PP,1,PRUTH,NUT8506,M,30,0.45nm,13,16.94092002,uM,1.332334509,26.51437511
2017-05-27,QCS_V1,2,QCS01,NUT8507,M,0,0.45nm,13,11.32106265,uM,0.924,22.14196886
2017-05-27,QCS_V1,2,QCS01,NUT8508,M,5,0.45nm,13,11.36444344,uM,0.963,19.50589718
2017-05-27,QCS_V1,2,QCS01,NUT8509,M,10,0.45nm,13,10.0176208,uM,0.865891151,17.37486228
2017-05-27,QCS_V1,2,QCS01,NUT8510,M,20,0.45nm,13,8.708753649,uM,0.794867042,15.31826619
2017-05-27,QCS_V1,2,QCS01,NUT8511,M,30,0.45nm,13,6.011197703,uM,0.680368514,11.0631371
2017-05-27,QCS_V1,2,QCS01,NUT8512,M,50,0.45nm,13,13.00347269,uM,1.105308772,21.22800226
2017-05-27,QCS_V1,2,QCS01,NUT8513,M,100,0.45nm,13,20.3729223,uM,1.556188168,32.52836256
2017-05-27,QCS_V1,2,QCS01,NUT8514,M,115,0.45nm,13,21.86226646,uM,1.683260558,33.68966441
2017-05-28,QCS_V2,1,NBCH01,NUT8523,M,0,0.45nm,13,2.874970137,uM,0.35452888,8.039522052
2017-05-28,QCS_V2,1,WBCH01,NUT8530,M,0,0.45nm,13,0.143365824,uM,0.136634227,1.929629743
2017-05-28,QCS_V2,1,NBCH01,NUT8524,M,5,0.45nm,13,3.836170135,uM,0.381053814,8.706678469
2017-05-28,QCS_V2,1,WBCH01,NUT8531,M,5,0.45nm,13,0.23897383,uM,0.160577454,2.188984305
2017-05-28,QCS_V2,1,NBCH01,NUT8525,M,10,0.45nm,13,5.74654386,uM,0.502915643,10.4456413
2017-06-07,KWAK_PP,1,PRUTH,NUT8534,M,0,0.45nm,13,0.082167518,uM,0.0001627,1.008982138
2017-06-07,KWAK_PP,1,PRUTH,NUT8535,M,5,0.45nm,13,,,,
2017-06-07,KWAK_PP,1,PRUTH,NUT8536,M,10,0.45nm,13,2.226504737,uM,0.28,3.556639697
2017-06-07,KWAK_PP,1,PRUTH,NUT8537,M,20,0.45nm,13,10.62161431,uM,0.971,16.98416773
2017-06-07,KWAK_PP,1,PRUTH,NUT8538,M,30,0.45nm,13,16.61821645,uM,1.393,27.53928478
2017-06-07,KWAK_PP,1,PRUTH,NUT8539,M,40,0.45nm,13,18.55340252,uM,1.382,31.28685147
2017-06-07,KWAK_PP,1,PRUTH,NUT8540,M,50,0.45nm,13,19.24583326,uM,1.579,32.74331822
2017-06-07,KWAK_PP,1,PRUTH,NUT8541,M,60,0.45nm,13,19.65169288,uM,1.645,33.99283934
2017-06-07,ROCKY,1,ROCKY02,NUT7693,M,0,0.45nm,13,0.138869533,uM,0.278357524,4.000251021
2017-06-08,ROCKY,1,ROCKY04,NUT7692,M,0,0.45nm,13,0.381352839,uM,0.24634248,5.392549377
2017-06-09,ROCKY,1,ROCKY05,NUT7691,M,0,0.45nm,13,1.543894708,uM,0.232304521,6.469251631
2017-06-12,QCS_V2,1,NBCH01,NUT8594,M,0,0.45nm,13,2.379489945,uM,0.346,7.086003295
2017-06-12,QCS_V2,1,WBCH01,NUT8599,M,0,0.45nm,13,2.78340629,uM,0.373260779,7.026261599
2017-06-12,QCS_V2,1,NBCH01,NUT8595,M,5,0.45nm,13,5.467068321,uM,0.584,10.7265789
2017-06-12,QCS_V2,1,WBCH01,NUT8600,M,5,0.45nm,13,2.110737144,uM,0.381249162,6.546811071
2017-06-12,QCS_V2,1,NBCH01,NUT8596,M,10,0.45nm,13,6.218988347,uM,0.676800969,12.40397066
2017-06-13,QCS_V1,1,QCS01,NUT8601,M,0,0.45nm,13,0.077186684,uM,0.036,0.017823093
2017-06-13,QCS_V1,1,QCS01,NUT8602,M,5,0.45nm,13,0.033304706,uM,0.109,0.449571748
2017-06-13,QCS_V1,1,QCS01,NUT8603,M,10,0.45nm,13,0.299240115,uM,0.149,1.092003389
2017-06-13,QCS_V1,1,QCS01,NUT8604,M,20,0.45nm,13,3.634752969,uM,0.544,8.416510182
2017-06-13,QCS_V1,1,QCS01,NUT8605,M,30,0.45nm,13,7.77504022,uM,0.755,12.75552502
2017-06-13,QCS_V1,1,QCS01,NUT8607,M,50,0.45nm,13,15.29166889,uM,1.251,24.26062859
2017-06-13,QCS_V1,1,QCS01,NUT8606,M,100,0.45nm,13,25.13406666,uM,1.879,39.03857245
2017-06-13,QCS_V1,2,QCS01,NUT8611,M,115,0.45nm,13,30.02544715,uM,2.204,52.79413758
2017-06-16,KWAK_PP,1,PRUTH,NUT8612,M,0,0.45nm,13,0.662629967,uM,0.072,0.605974469
2017-06-16,KWAK_PP,1,PRUTH,NUT8613,M,5,0.45nm,13,0.719047431,uM,0.177,1.951577019
2017-06-16,KWAK_PP,1,PRUTH,NUT8614,M,10,0.45nm,13,2.353268541,uM,0.311,3.780370419
2017-06-16,KWAK_PP,1,PRUTH,NUT8615,M,20,0.45nm,13,7.423876945,uM,0.707,11.26386344
2017-06-16,KWAK_PP,1,PRUTH,NUT8616,M,30,0.45nm,13,16.62063141,uM,1.294,27.59424652
2017-06-23,ROCKY,1,ROCKY02,NUT7690,M,0,0.45nm,13,0.232825526,uM,0.398469618,6.001616068
2017-06-25,ROCKY,1,ROCKY04,NUT7696,M,0,0.45nm,13,0.352762778,uM,0.299432136,8.532949769
2017-06-28,KWAK_PP,1,PRUTH,NUT8640,M,0,0.45nm,13,0.101404353,uM,0.037,0.907956856
2017-06-28,KWAK_PP,1,PRUTH,NUT8641,M,5,0.45nm,13,1.145255382,uM,0.251372893,4.812981134
2017-06-28,KWAK_PP,1,PRUTH,NUT8642,M,10,0.45nm,13,6.475574426,uM,0.563827235,12.37916883
2017-06-28,KWAK_PP,1,PRUTH,NUT8643,M,20,0.45nm,13,10.3973657,uM,0.899,18.18764924
2017-06-28,KWAK_PP,1,PRUTH,NUT8644,M,30,0.45nm,13,16.49698317,uM,1.349708116,27.67958907
2017-06-28,KWAK_PP,1,PRUTH,NUT8645,M,40,0.45nm,13,19.58101167,uM,1.636,34.08358214
2017-06-28,KWAK_PP,1,PRUTH,NUT8646,M,50,0.45nm,13,22.07083102,uM,1.831,40.1817349
2017-06-28,KWAK_PP,1,PRUTH,NUT8647,M,60,0.45nm,13,22.83910436,uM,1.932,43.02633486
2017-06-28,ROCKY,1,ROCKY05,NUT7697,M,0,0.45nm,13,2.080823785,uM,0.482492034,10.96137333
2017-06-30,ROCKY,1,ROCKY07,NUT7695,M,0,0.45nm,13,0.414753443,uM,0.407447852,7.893062845
2017-07-01,ROCKY,1,ROCKY06,NUT7694,M,0,0.45nm,13,0.047711714,uM,0.200294362,1.120717783
2017-07-06,QCS_V2,1,NBCH01,NUT8697,M,0,0.45nm,13,0.085918197,uM,0.007969485,1.00224114
2017-07-06,QCS_V2,1,WBCH01,NUT8702,M,0,0.45nm,13,0.089272301,uM,0.047,1.008998236
2017-07-06,QCS_V2,1,NBCH01,NUT8698,M,5,0.45nm,13,2.538324797,uM,0.407266443,7.955601983
2017-07-06,QCS_V2,1,WBCH01,NUT8703,M,5,0.45nm,13,0.113862381,uM,0.154,2.707262816
2017-07-06,QCS_V2,1,NBCH01,NUT8699,M,10,0.45nm,13,6.15056932,uM,0.672094048,11.43126856
2017-07-07,ROCKY,1,ROCKY03,NUT7700,M,0,0.45nm,13,0.203610126,uM,0.209202267,2.11680873
2017-07-08,QCS_V1,1,QCS01,NUT8682,M,0,0.45nm,13,0.055305124,uM,0.018,0.189125604
2017-07-08,QCS_V1,1,QCS01,NUT8683,M,5,0.45nm,13,0.036125081,uM,0.044701645,0.329047162
2017-07-08,QCS_V1,1,QCS01,NUT8684,M,10,0.45nm,13,0.000666985,uM,0.152,2.216040444
2017-07-08,QCS_V1,1,QCS01,NUT8685,M,20,0.45nm,13,5.78268875,uM,0.611,9.802816605
2017-07-08,QCS_V1,1,QCS01,NUT8686,M,30,0.45nm,13,8.709631864,uM,0.807,12.29606247
2017-07-08,QCS_V1,1,QCS01,NUT8687,M,50,0.45nm,13,13.78459947,uM,1.139,19.15413772
2017-07-08,QCS_V1,1,QCS01,NUT8688,M,100,0.45nm,13,30.53754928,uM,2.288,54.83684604
2017-07-08,QCS_V1,1,QCS01,NUT8689,M,115,0.45nm,13,32.87297677,uM,2.619,64.66440885
2017-07-09,KWAK_PP,1,PRUTH,NUT8704,M,0,0.45nm,13,0.10648092,uM,0,0.207585153
2017-07-09,KWAK_PP,1,PRUTH,NUT8705,M,5,0.45nm,13,0.152852549,uM,0.123,2.3674145
2017-07-09,KWAK_PP,1,PRUTH,NUT8706,M,10,0.45nm,13,6.619220483,uM,0.784,12.71190626
2017-07-09,KWAK_PP,1,PRUTH,NUT8707,M,20,0.45nm,13,14.53456978,uM,1.192,26.31321399
2017-07-09,KWAK_PP,1,PRUTH,NUT8712,M,30,0.45nm,13,21.411314,uM,1.426,38.96004058
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8766,M,0,0.45nm,13,0.021933219,uM,0.020034746,0.820294612
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8766,M,0,0.45nm,13,0.021933219,uM,0.020034746,0.820294612
2017-07-20,MACRO_MGEO,1,WBCH01,NUT8783,M,0,0.45nm,13,0.096904038,uM,0.060005615,0.558348409
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8767,M,5,0.45nm,13,4.105215121,uM,0.47733376,9.381369943
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8767,M,5,0.45nm,13,4.105215121,uM,0.47733376,9.381369943
2017-07-20,MACRO_MGEO,1,WBCH01,NUT8784,M,5,0.45nm,13,0.123508237,uM,0.066762037,0.708314883
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8768,M,10,0.45nm,13,8.524513709,uM,0.823837274,15.07076898
2017-07-20,MACRO_MGEO,1,NBCH01,NUT8768,M,10,0.45nm,13,8.524513709,uM,0.823837274,15.07076898
2017-07-21,KWAK_PP,1,PRUTH,NUT8788,M,0,0.45nm,13,0.071674348,uM,0.038060972,0.888836175
2017-07-21,KWAK_PP,1,PRUTH,NUT8789,M,5,0.45nm,13,1.023270945,uM,0.174293048,3.850896758
2017-07-21,KWAK_PP,1,PRUTH,NUT8790,M,10,0.45nm,13,5.79685297,uM,0.576063335,11.71572629
2017-07-21,KWAK_PP,1,PRUTH,NUT8791,M,20,0.45nm,13,10.84717195,uM,0.973744294,20.01900364
2017-07-21,KWAK_PP,1,PRUTH,NUT8792,M,30,0.45nm,13,16.8518008,uM,1.468118377,30.33008898
2017-07-21,KWAK_PP,1,PRUTH,NUT8793,M,40,0.45nm,13,20.32158357,uM,1.619671232,36.15311033
2017-07-21,KWAK_PP,1,PRUTH,NUT8794,M,50,0.45nm,13,22.48586006,uM,1.869124154,40.73358037
2017-07-21,KWAK_PP,1,PRUTH,NUT8795,M,60,0.45nm,13,24.42705124,uM,2.032747452,45.40291366
2017-07-27,KWAK_PP,1,PRUTH,NUT8848,M,0,0.45nm,13,0.199214299,uM,0.047077909,1.129099035
2017-07-27,KWAK_PP,1,PRUTH,NUT8849,M,5,0.45nm,13,2.947801974,uM,0.33883444,7.364365489
2017-07-27,KWAK_PP,1,PRUTH,NUT8850,M,10,0.45nm,13,7.63252117,uM,0.724537511,14.67290903
2017-07-27,KWAK_PP,1,PRUTH,NUT8851,M,20,0.45nm,13,9.978670803,uM,0.937476994,18.85191061
