Sample ID,Date,Survey,Site,Source,PO4,SiO2,NO3+NO2,Lat,Long
NUT9526,2017-10-12,FZH,FZH01,M,1.367,32.463,14.554,51.6394,-127.8958
NUT9528,2017-10-12,FZH,FZH01,M,1.813,38.370,20.605,51.6394,-127.8958
NUT9529,2017-10-12,FZH,FZH01,M,1.978,41.025,22.340,51.6394,-127.8958
NUT9530,2017-10-12,FZH,FZH01,M,2.299,52.104,26.544,51.6394,-127.8958
NUT9531,2017-10-12,FZH,FZH01,M,2.446,57.106,28.407,51.6394,-127.8958
NUT9532,2017-10-12,FZH,FZH01,M,2.463,58.723,28.941,51.6394,-127.8958
NUT9581,2017-12-05,FZH,FZH01,M,1.545,37.305,19.864,51.6394,-127.8958
NUT9582,2017-12-05,FZH,FZH01,M,1.642,38.455,21.551,51.6394,-127.8958
NUT9583,2017-12-05,FZH,FZH01,M,1.394,38.694,22.326,51.6394,-127.8958
NUT9584,2017-12-05,FZH,FZH01,M,1.723,38.023,22.657,51.6394,-127.8958
NUT9585,2017-12-05,FZH,FZH01,M,1.728,36.764,22.150,51.6394,-127.8958
NUT9586,2017-12-05,FZH,FZH01,M,1.519,33.083,20.635,51.6394,-127.8958
NUT9587,2017-12-05,FZH,FZH01,M,2.000,50.358,28.209,51.6394,-127.8958
NUT9588,2017-12-05,FZH,FZH01,M,2.390,53.447,30.392,51.6394,-127.8958
NUT9638,2018-01-11,FZH,FZH01,M,1.590,34.694,20.202,51.6394,-127.8958
NUT9639,2018-01-11,FZH,FZH01,M,1.590,34.119,20.248,51.6394,-127.8958
NUT9640,2018-01-11,FZH,FZH01,M,1.606,34.303,20.284,51.6394,-127.8958
NUT9641,2018-01-11,FZH,FZH01,M,1.357,33.321,19.663,51.6394,-127.8958
NUT9642,2018-01-11,FZH,FZH01,M,1.552,32.258,19.352,51.6394,-127.8958
NUT9643,2018-01-11,FZH,FZH01,M,1.624,33.750,20.635,51.6394,-127.8958
NUT9644,2018-01-11,FZH,FZH01,M,2.080,50.149,27.428,51.6394,-127.8958
NUT9645,2018-01-11,FZH,FZH01,M,2.289,53.765,29.205,51.6394,-127.8958
NUT9677,2018-02-19,FZH,FZH01,M,1.577,36.311,20.380,51.6394,-127.8958
NUT9678,2018-02-19,FZH,FZH01,M,1.643,36.079,20.429,51.6394,-127.8958
NUT9679,2018-02-19,FZH,FZH01,M,1.643,35.792,20.447,51.6394,-127.8958
NUT9680,2018-02-19,FZH,FZH01,M,1.605,34.039,19.582,51.6394,-127.8958
NUT9681,2018-02-19,FZH,FZH01,M,1.423,29.917,17.443,51.6394,-127.8958
NUT9682,2018-02-19,FZH,FZH01,M,1.798,38.071,21.494,51.6394,-127.8958
NUT9683,2018-02-19,FZH,FZH01,M,2.168,51.272,26.488,51.6394,-127.8958
NUT9684,2018-02-19,FZH,FZH01,M,2.132,52.042,27.769,51.6394,-127.8958
NUT9823,2018-03-28,FZH,FZH01,M,0.621,15.528,6.056,51.6394,-127.8958
NUT9824,2018-03-28,FZH,FZH01,M,0.985,21.886,11.187,51.6394,-127.8958
NUT9825,2018-03-28,FZH,FZH01,M,1.579,35.626,19.388,51.6394,-127.8958
NUT9826,2018-03-28,FZH,FZH01,M,1.758,37.943,21.865,51.6394,-127.8958
NUT9827,2018-03-28,FZH,FZH01,M,2.011,43.550,25.850,51.6394,-127.8958
NUT7982,2017-01-18,"KWAK_PP,KWAK",KC1,M,1.445,31.547,18.896,51.6545,-128.1289
NUT7999,2017-01-18,"KWAK_PP,KWAK",KC1,M,1.375,30.343,16.697,51.6545,-128.1289
NUT8532,2017-06-07,KWAK,KC1,M,0.002,0.498,0.198,51.6545,-128.1289
NUT8533,2017-06-07,KWAK,KC1,M,0.034,0.336,0.179,51.6545,-128.1289
NUT8638,2017-06-28,KWAK_PP,KC1,M,0.127,1.333,0.245,51.6545,-128.1289
NUT8639,2017-06-28,KWAK_PP,KC1,M,0.296,5.768,2.140,51.6545,-128.1289
NUT8786,2017-07-21,KWAK_PP,KC1,M,0.022,0.647,0.061,51.6545,-128.1289
NUT8787,2017-07-21,KWAK_PP,KC1,M,0.072,0.527,0.033,51.6545,-128.1289
NUT8908,2017-08-13,KWAK_PP,KC1,M,0.171,3.448,0.394,51.6545,-128.1289
NUT8909,2017-08-13,KWAK_PP,KC1,M,0.240,5.724,1.120,51.6545,-128.1289
NUT8951,2017-08-30,KWAK_PP,KC1,M,0.146,10.280,0.482,51.6545,-128.1289
NUT8952,2017-08-30,KWAK_PP,KC1,M,0.414,13.023,3.989,51.6545,-128.1289
NUT9424,2017-09-20,KWAK_PP,KC1,M,0.775,18.542,7.798,51.6545,-128.1289
NUT9425,2017-09-20,KWAK_PP,KC1,M,0.892,20.462,9.791,51.6545,-128.1289
NUT9570,2017-11-08,KWAK,KC1,M,1.586,39.055,20.126,51.6545,-128.1289
NUT9571,2017-11-08,KWAK,KC1,M,1.530,39.037,21.711,51.6545,-128.1289
NUT9572,2017-11-12,KWAK,KC1,M,1.480,38.542,19.022,51.6545,-128.1289
NUT9573,2017-11-12,KWAK,KC1,M,1.573,39.331,21.687,51.6545,-128.1289
NUT9812,2018-03-28,KWAK,KC1,M,1.112,27.929,12.514,51.6545,-128.1289
NUT9813,2018-03-28,KWAK,KC1,M,1.458,33.109,17.069,51.6545,-128.1289
NUT9845,2018-04-21,KWAK_PP,KC1,M,1.088,19.855,11.583,51.6545,-128.1289
NUT9846,2018-04-21,KWAK_PP,KC1,M,1.182,21.423,13.156,51.6545,-128.1289
NUT10019,2018-04-28,FZH,KC10,M,0.589,14.298,5.298,51.6505,-127.9516
NUT10020,2018-04-28,FZH,KC10,M,0.751,16.643,7.568,51.6505,-127.9516
NUT10021,2018-04-28,FZH,KC10,M,1.023,17.815,10.944,51.6505,-127.9516
NUT10022,2018-04-28,FZH,KC10,M,1.231,20.808,12.937,51.6505,-127.9516
NUT10023,2018-04-28,FZH,KC10,M,1.277,22.345,13.361,51.6505,-127.9516
NUT10024,2018-04-28,FZH,KC10,M,1.186,20.698,12.234,51.6505,-127.9516
NUT10025,2018-04-28,FZH,KC10,M,1.495,28.683,17.875,51.6505,-127.9516
NUT10026,2018-04-28,FZH,KC10,M,1.942,41.202,24.577,51.6505,-127.9516
NUT10027,2018-04-28,FZH,KC10,M,2.064,45.630,25.824,51.6505,-127.9516
NUT8448,2017-05-17,FZH,KC10,M,0.067,3.976,0.105,51.6505,-127.9516
NUT8449,2017-05-17,FZH,KC10,M,0.317,11.583,2.795,51.6505,-127.9516
NUT8450,2017-05-17,FZH,KC10,M,0.865,17.361,9.083,51.6505,-127.9516
NUT8451,2017-05-17,FZH,KC10,M,1.192,24.308,13.515,51.6505,-127.9516
NUT8452,2017-05-17,FZH,KC10,M,1.205,18.177,13.538,51.6505,-127.9516
NUT8454,2017-05-17,FZH,KC10,M,1.328,26.673,16.343,51.6505,-127.9516
NUT8455,2017-05-17,FZH,KC10,M,1.341,26.932,16.479,51.6505,-127.9516
NUT8456,2017-05-17,FZH,KC10,M,1.881,23.948,15.508,51.6505,-127.9516
NUT8457,2017-05-17,FZH,KC10,M,1.146,23.720,13.634,51.6505,-127.9516
NUT8459,2017-05-17,FZH,KC10,M,1.606,32.923,20.466,51.6505,-127.9516
NUT8551,2017-06-08,FZH,KC10,M,0.013,7.330,0.152,51.6505,-127.9516
NUT8552,2017-06-08,FZH,KC10,M,0.339,5.400,3.588,51.6505,-127.9516
NUT8553,2017-06-08,FZH,KC10,M,0.600,11.100,6.927,51.6505,-127.9516
NUT8554,2017-06-08,FZH,KC10,M,1.034,19.733,12.263,51.6505,-127.9516
NUT8555,2017-06-08,FZH,KC10,M,1.422,30.493,18.693,51.6505,-127.9516
NUT8556,2017-06-08,FZH,KC10,M,1.658,34.802,20.724,51.6505,-127.9516
NUT8557,2017-06-08,FZH,KC10,M,1.686,35.455,20.778,51.6505,-127.9516
NUT8558,2017-06-08,FZH,KC10,M,1.651,33.918,19.876,51.6505,-127.9516
NUT8559,2017-06-08,FZH,KC10,M,1.796,38.263,22.017,51.6505,-127.9516
NUT8560,2017-06-08,FZH,KC10,M,1.817,39.704,23.623,51.6505,-127.9516
NUT8561,2017-06-08,FZH,KC10,M,1.781,41.784,24.940,51.6505,-127.9516
NUT8562,2017-06-08,FZH,KC10,M,1.977,43.635,25.846,51.6505,-127.9516
NUT8626,2017-06-29,FZH,KC10,M,0.019,0.366,0.170,51.6505,-127.9516
NUT8627,2017-06-29,FZH,KC10,M,0.352,10.159,2.303,51.6505,-127.9516
NUT8628,2017-06-29,FZH,KC10,M,1.075,21.322,12.115,51.6505,-127.9516
NUT8629,2017-06-29,FZH,KC10,M,1.297,25.543,15.206,51.6505,-127.9516
NUT8630,2017-06-29,FZH,KC10,M,1.366,26.987,16.104,51.6505,-127.9516
NUT8631,2017-06-29,FZH,KC10,M,1.562,31.862,18.685,51.6505,-127.9516
NUT8632,2017-06-29,FZH,KC10,M,1.652,36.250,20.720,51.6505,-127.9516
NUT8633,2017-06-29,FZH,KC10,M,1.848,40.555,23.217,51.6505,-127.9516
NUT8634,2017-06-29,FZH,KC10,M,1.835,39.345,23.156,51.6505,-127.9516
NUT8635,2017-06-29,FZH,KC10,M,1.969,44.231,25.315,51.6505,-127.9516
NUT8636,2017-06-29,FZH,KC10,M,2.000,44.573,25.904,51.6505,-127.9516
NUT8637,2017-06-29,FZH,KC10,M,2.097,49.042,28.121,51.6505,-127.9516
NUT8722,2017-07-19,FZH,KC10,M,0.000,4.468,0.052,51.6505,-127.9516
NUT8723,2017-07-19,FZH,KC10,M,0.064,0.908,0.091,51.6505,-127.9516
NUT8724,2017-07-19,FZH,KC10,M,0.147,1.674,0.140,51.6505,-127.9516
NUT8725,2017-07-19,FZH,KC10,M,1.106,21.340,12.904,51.6505,-127.9516
NUT8726,2017-07-19,FZH,KC10,M,1.689,36.527,20.975,51.6505,-127.9516
NUT8727,2017-07-19,FZH,KC10,M,1.807,40.683,22.832,51.6505,-127.9516
NUT8728,2017-07-19,FZH,KC10,M,1.814,42.366,23.553,51.6505,-127.9516
NUT8729,2017-07-19,FZH,KC10,M,1.845,43.619,25.011,51.6505,-127.9516
NUT8730,2017-07-19,FZH,KC10,M,2.027,45.495,26.005,51.6505,-127.9516
NUT8731,2017-07-19,FZH,KC10,M,2.103,48.383,27.591,51.6505,-127.9516
NUT8732,2017-07-19,FZH,KC10,M,2.221,51.952,29.085,51.6505,-127.9516
NUT8733,2017-07-19,FZH,KC10,M,2.232,53.121,30.111,51.6505,-127.9516
NUT8896,2017-08-14,FZH,KC10,M,0.022,1.648,0.185,51.6505,-127.9516
NUT8897,2017-08-14,FZH,KC10,M,0.521,10.762,4.572,51.6505,-127.9516
NUT8898,2017-08-14,FZH,KC10,M,0.626,12.622,6.208,51.6505,-127.9516
NUT8899,2017-08-14,FZH,KC10,M,0.862,17.458,9.315,51.6505,-127.9516
NUT8900,2017-08-14,FZH,KC10,M,1.551,33.236,18.834,51.6505,-127.9516
NUT8901,2017-08-14,FZH,KC10,M,1.802,39.547,22.617,51.6505,-127.9516
NUT8902,2017-08-14,FZH,KC10,M,1.787,40.499,23.117,51.6505,-127.9516
NUT8903,2017-08-14,FZH,KC10,M,2.056,47.122,27.067,51.6505,-127.9516
NUT8904,2017-08-14,FZH,KC10,M,2.112,48.656,27.864,51.6505,-127.9516
NUT8905,2017-08-14,FZH,KC10,M,2.315,55.943,30.404,51.6505,-127.9516
NUT8906,2017-08-14,FZH,KC10,M,2.226,55.869,30.753,51.6505,-127.9516
NUT8907,2017-08-14,FZH,KC10,M,2.295,56.713,31.576,51.6505,-127.9516
NUT8962,2017-08-31,FZH,KC10,M,0.055,12.517,0.234,51.6505,-127.9516
NUT8963,2017-08-31,FZH,KC10,M,1.171,29.317,13.897,51.6505,-127.9516
NUT8964,2017-08-31,FZH,KC10,M,0.898,23.375,10.836,51.6505,-127.9516
NUT8965,2017-08-31,FZH,KC10,M,1.144,25.848,13.242,51.6505,-127.9516
NUT8966,2017-08-31,FZH,KC10,M,1.410,30.863,16.801,51.6505,-127.9516
NUT8968,2017-08-31,FZH,KC10,M,1.766,41.525,23.713,51.6505,-127.9516
NUT8970,2017-08-31,FZH,KC10,M,2.088,50.287,27.068,51.6505,-127.9516
NUT8972,2017-08-31,FZH,KC10,M,2.337,56.489,31.040,51.6505,-127.9516
NUT8973,2017-08-31,FZH,KC10,M,2.294,59.684,31.669,51.6505,-127.9516
NUT9443,2017-09-21,FZH,KC10,M,0.644,25.025,7.396,51.6505,-127.9516
NUT9444,2017-09-21,FZH,KC10,M,0.769,25.929,8.478,51.6505,-127.9516
NUT9445,2017-09-21,FZH,KC10,M,1.207,26.373,12.889,51.6505,-127.9516
NUT9446,2017-09-21,FZH,KC10,M,1.287,27.628,13.565,51.6505,-127.9516
NUT9447,2017-09-21,FZH,KC10,M,1.543,32.321,17.097,51.6505,-127.9516
NUT9448,2017-09-21,FZH,KC10,M,1.833,39.026,20.561,51.6505,-127.9516
NUT9449,2017-09-21,FZH,KC10,M,0.635,25.937,7.917,51.6505,-127.9516
NUT9450,2017-09-21,FZH,KC10,M,1.911,40.489,21.516,51.6505,-127.9516
NUT9451,2017-09-21,FZH,KC10,M,2.088,44.949,23.957,51.6505,-127.9516
NUT9452,2017-09-21,FZH,KC10,M,2.231,49.979,25.761,51.6505,-127.9516
NUT9453,2017-09-21,FZH,KC10,M,2.398,53.864,27.582,51.6505,-127.9516
NUT9454,2017-09-21,FZH,KC10,M,2.389,53.169,28.357,51.6505,-127.9516
NUT9533,2017-10-12,FZH,KC10,M,1.163,31.016,12.710,51.6505,-127.9516
NUT9534,2017-10-12,FZH,KC10,M,1.269,31.547,13.513,51.6505,-127.9516
NUT9535,2017-10-12,FZH,KC10,M,1.238,30.332,13.091,51.6505,-127.9516
NUT9536,2017-10-12,FZH,KC10,M,1.502,33.241,16.429,51.6505,-127.9516
NUT9537,2017-10-12,FZH,KC10,M,1.762,36.901,19.928,51.6505,-127.9516
NUT9538,2017-10-12,FZH,KC10,M,1.955,40.755,22.155,51.6505,-127.9516
NUT9539,2017-10-12,FZH,KC10,M,1.953,42.378,22.260,51.6505,-127.9516
NUT9540,2017-10-12,FZH,KC10,M,2.146,47.276,24.344,51.6505,-127.9516
NUT9541,2017-10-12,FZH,KC10,M,2.283,49.659,26.339,51.6505,-127.9516
NUT9542,2017-10-12,FZH,KC10,M,2.467,55.016,28.223,51.6505,-127.9516
NUT9543,2017-10-12,FZH,KC10,M,2.466,56.291,28.622,51.6505,-127.9516
NUT9544,2017-10-12,FZH,KC10,M,2.435,57.839,28.309,51.6505,-127.9516
NUT9589,2017-12-07,FZH,KC10,M,1.411,39.636,21.616,51.6505,-127.9516
NUT9590,2017-12-07,FZH,KC10,M,1.468,39.474,21.962,51.6505,-127.9516
NUT9591,2017-12-07,FZH,KC10,M,1.712,38.165,21.973,51.6505,-127.9516
NUT9595,2017-12-07,FZH,KC10,M,1.535,37.312,22.438,51.6505,-127.9516
NUT9597,2017-12-07,FZH,KC10,M,1.782,38.112,23.019,51.6505,-127.9516
NUT9599,2017-12-07,FZH,KC10,M,1.622,37.174,22.098,51.6505,-127.9516
NUT9600,2017-12-07,FZH,KC10,M,2.390,55.350,30.415,51.6505,-127.9516
NUT9631,2018-01-11,FZH,KC10,M,1.401,34.219,20.104,51.6505,-127.9516
NUT9632,2018-01-11,FZH,KC10,M,1.447,33.844,19.986,51.6505,-127.9516
NUT9633,2018-01-11,FZH,KC10,M,1.418,33.858,20.166,51.6505,-127.9516
NUT9634,2018-01-11,FZH,KC10,M,1.480,32.652,19.330,51.6505,-127.9516
NUT9635,2018-01-11,FZH,KC10,M,1.585,31.791,19.300,51.6505,-127.9516
NUT9636,2018-01-11,FZH,KC10,M,2.075,48.556,27.347,51.6505,-127.9516
NUT9637,2018-01-11,FZH,KC10,M,2.215,54.724,29.280,51.6505,-127.9516
NUT9685,2018-02-19,FZH,KC10,M,1.596,35.077,19.485,51.6505,-127.9516
NUT9686,2018-02-19,FZH,KC10,M,1.658,36.348,20.358,51.6505,-127.9516
NUT9687,2018-02-19,FZH,KC10,M,1.655,36.251,20.360,51.6505,-127.9516
NUT9688,2018-02-19,FZH,KC10,M,1.632,35.244,20.243,51.6505,-127.9516
NUT9689,2018-02-19,FZH,KC10,M,1.546,33.077,19.494,51.6505,-127.9516
NUT9690,2018-02-19,FZH,KC10,M,2.130,47.794,25.896,51.6505,-127.9516
NUT9691,2018-02-19,FZH,KC10,M,2.293,52.198,27.857,51.6505,-127.9516
NUT9814,2018-03-27,FZH,KC10,M,1.294,31.970,16.031,51.6505,-127.9516
NUT9815,2018-03-27,FZH,KC10,M,1.547,34.682,18.744,51.6505,-127.9516
NUT9816,2018-03-27,FZH,KC10,M,1.540,34.414,18.796,51.6505,-127.9516
NUT9817,2018-03-27,FZH,KC10,M,1.573,35.446,19.272,51.6505,-127.9516
NUT9818,2018-03-27,FZH,KC10,M,1.629,36.201,19.903,51.6505,-127.9516
NUT9819,2018-03-27,FZH,KC10,M,1.499,35.752,19.321,51.6505,-127.9516
NUT9820,2018-03-27,FZH,KC10,M,1.682,34.552,20.592,51.6505,-127.9516
NUT9821,2018-03-27,FZH,KC10,M,1.947,41.958,25.305,51.6505,-127.9516
NUT9822,2018-03-27,FZH,KC10,M,2.221,42.836,26.173,51.6505,-127.9516
NUT8785,2017-07-20,MACRO_MGEO,KFPC01,M,0.069,0.946,0.023,51.900217,-128.4319
NUT8836,2017-07-20,MACRO_MGEO,KFPC01,M,0.088,1.189,0.062,51.900217,-128.4319
NUT10000,2018-05-01,QCS_V2,KFPC06,M,0.480,7.008,2.575,51.811267,-128.233617
NUT10001,2018-05-01,QCS_V2,KFPC06,M,0.443,6.280,2.120,51.811267,-128.233617
NUT10002,2018-05-01,QCS_V2,KFPC06,M,0.544,7.802,3.387,51.811267,-128.233617
NUT8232,2017-04-16,QCS_V2,KFPC06,M,0.269,2.989,0.825,51.811267,-128.233617
NUT8233,2017-04-16,QCS_V2,KFPC06,M,0.302,2.468,0.969,51.811267,-128.233617
NUT8587,2017-06-12,QCS_V2,KFPC06,M,0.219,2.552,0.626,51.811267,-128.233617
NUT8588,2017-06-12,QCS_V2,KFPC06,M,0.275,3.357,0.963,51.811267,-128.233617
NUT8589,2017-06-12,QCS_V2,KFPC06,M,0.412,5.637,2.094,51.811267,-128.233617
NUT8690,2017-07-06,QCS_V2,KFPC06,M,0.083,1.325,0.726,51.811267,-128.233617
NUT8691,2017-07-06,QCS_V2,KFPC06,M,0.085,1.596,0.022,51.811267,-128.233617
NUT8692,2017-07-06,QCS_V2,KFPC06,M,0.231,3.729,0.467,51.811267,-128.233617
NUT8734,2017-07-20,MACRO_MGEO,KFPC06,M,0.077,0.462,0.028,51.811267,-128.233617
NUT8735,2017-07-20,MACRO_MGEO,KFPC06,M,0.099,0.883,0.000,51.811267,-128.233617
NUT9406,2017-09-03,QCS_V2,KFPC06,M,0.247,6.723,0.563,51.811267,-128.233617
NUT9407,2017-09-03,QCS_V2,KFPC06,M,0.307,7.894,1.099,51.811267,-128.233617
NUT9408,2017-09-03,QCS_V2,KFPC06,M,0.495,12.083,2.727,51.811267,-128.233617
NUT9498,2017-09-28,QCS_V2,KFPC06,M,0.679,16.728,4.790,51.811267,-128.233617
NUT9499,2017-09-28,QCS_V2,KFPC06,M,0.677,16.420,4.547,51.811267,-128.233617
NUT9500,2017-09-28,QCS_V2,KFPC06,M,0.751,16.944,5.524,51.811267,-128.233617
NUT9828,2018-04-02,QCS_V2,KFPC06,M,1.227,28.006,14.172,51.811267,-128.233617
NUT9829,2018-04-02,QCS_V2,KFPC06,M,1.281,27.879,14.153,51.811267,-128.233617
NUT9830,2018-04-02,QCS_V2,KFPC06,M,1.255,28.077,14.327,51.811267,-128.233617
NUT8834,2017-07-20,MACRO_MGEO,KFPN07,M,0.583,11.685,5.773,51.961,-128.261
NUT8835,2017-07-20,MACRO_MGEO,KFPN07,M,0.420,9.761,3.950,51.961,-128.261
NUT10003,2018-05-01,QCS_V2,KFPS04,M,0.856,13.501,7.900,51.6796,-128.1171
NUT10004,2018-05-01,QCS_V2,KFPS04,M,0.820,13.477,7.727,51.6796,-128.1171
NUT8235,2017-04-16,QCS_V2,KFPS04,M,0.585,10.430,6.082,51.6796,-128.1171
NUT8236,2017-04-16,QCS_V2,KFPS04,M,0.496,10.400,5.895,51.6796,-128.1171
NUT8590,2017-06-12,QCS_V2,KFPS04,M,0.571,11.061,5.046,51.6796,-128.1171
NUT8591,2017-06-12,QCS_V2,KFPS04,M,0.647,11.986,5.885,51.6796,-128.1171
NUT8693,2017-07-06,QCS_V2,KFPS04,M,0.000,2.144,0.014,51.6796,-128.1171
NUT8694,2017-07-06,QCS_V2,KFPS04,M,0.134,3.802,0.174,51.6796,-128.1171
NUT8934,2017-08-19,MACRO_MGEO,KFPS04,M,0.576,11.937,5.497,51.6796,-128.1171
NUT8935,2017-08-19,MACRO_MGEO,KFPS04,M,0.612,12.802,5.916,51.6796,-128.1171
NUT9409,2017-09-03,QCS_V2,KFPS04,M,0.309,9.276,1.875,51.6796,-128.1171
NUT9410,2017-09-03,QCS_V2,KFPS04,M,0.482,10.872,3.276,51.6796,-128.1171
NUT9501,2017-09-28,QCS_V2,KFPS04,M,0.817,22.273,8.122,51.6796,-128.1171
NUT9502,2017-09-28,QCS_V2,KFPS04,M,0.986,22.108,9.831,51.6796,-128.1171
NUT9831,2018-04-02,QCS_V2,KFPS04,M,1.357,27.630,15.683,51.6796,-128.1171
NUT9832,2018-04-02,QCS_V2,KFPS04,M,1.353,27.532,15.672,51.6796,-128.1171
NUT8023,2017-01-23,"KWY,KWY_V2,QCS_V1",KWY01,M,1.387,29.851,18.367,51.7747,-127.8801
NUT8048,2017-02-23,"KWY_V2,QCSD,KWY",KWY01,M,1.203,29.051,15.831,51.7747,-127.8801
NUT8049,2017-02-23,"KWY_V2,QCSD,KWY",KWY01,M,1.312,31.391,17.107,51.7747,-127.8801
NUT8050,2017-02-23,"KWY_V2,QCSD,KWY",KWY01,M,1.245,29.532,17.603,51.7747,-127.8801
NUT8130,2017-03-20,KWY,KWY01,M,0.726,24.777,10.723,51.7747,-127.8801
NUT8131,2017-03-20,KWY,KWY01,M,0.991,26.954,15.931,51.7747,-127.8801
NUT8132,2017-03-20,KWY,KWY01,M,1.319,27.648,16.286,51.7747,-127.8801
NUT8180,2017-07-08,KWY,KWY01,M,1.319,29.475,16.820,51.7747,-127.8801
NUT8409,2017-05-03,KWY,KWY01,M,0.068,10.607,1.692,51.7747,-127.8801
NUT8410,2017-05-03,KWY,KWY01,M,0.072,0.307,0.075,51.7747,-127.8801
NUT8411,2017-05-03,KWY,KWY01,M,0.183,1.232,0.231,51.7747,-127.8801
NUT8515,2017-05-27,KWY,KWY01,M,0.011,0.009,0.146,51.7747,-127.8801
NUT8516,2017-05-27,KWY,KWY01,M,0.052,1.640,0.352,51.7747,-127.8801
NUT8517,2017-05-27,KWY,KWY01,M,0.980,18.143,10.926,51.7747,-127.8801
NUT8608,2017-06-13,KWY,KWY01,M,0.017,5.203,0.337,51.7747,-127.8801
NUT8609,2017-06-13,KWY,KWY01,M,0.120,1.876,0.487,51.7747,-127.8801
NUT8610,2017-06-13,KWY,KWY01,M,0.895,13.034,9.174,51.7747,-127.8801
NUT8680,2017-07-08,KWY,KWY01,M,0.050,9.588,0.298,51.7747,-127.8801
NUT8681,2017-07-08,KWY,KWY01,M,0.968,18.986,10.487,51.7747,-127.8801
NUT8837,2017-07-28,KWY,KWY01,M,0.172,9.151,0.644,51.7747,-127.8801
NUT8838,2017-07-28,KWY,KWY01,M,0.462,6.958,3.428,51.7747,-127.8801
NUT8839,2017-07-28,KWY,KWY01,M,0.670,11.655,6.101,51.7747,-127.8801
NUT8926,2017-08-19,KWY,KWY01,M,0.000,1.844,0.072,51.7747,-127.8801
NUT8927,2017-08-19,KWY,KWY01,M,0.322,7.439,3.100,51.7747,-127.8801
NUT8928,2017-08-19,KWY,KWY01,M,0.614,12.312,5.881,51.7747,-127.8801
NUT8967,2017-09-04,KWY,KWY01,M,1.325,29.398,14.688,51.7747,-127.8801
NUT8969,2017-09-04,KWY,KWY01,M,0.962,24.883,11.431,51.7747,-127.8801
NUT8971,2017-09-04,KWY,KWY01,M,0.252,17.238,1.829,51.7747,-127.8801
NUT9487,2017-09-27,KWY,KWY01,M,0.425,28.143,7.778,51.7747,-127.8801
NUT9488,2017-09-27,KWY,KWY01,M,1.251,32.729,14.827,51.7747,-127.8801
NUT9489,2017-09-27,KWY,KWY01,M,1.226,32.642,14.631,51.7747,-127.8801
NUT9549,2017-10-17,KWY,KWY01,M,1.199,28.840,14.305,51.7747,-127.8801
NUT9550,2017-10-17,KWY,KWY01,M,1.320,29.249,15.311,51.7747,-127.8801
NUT9601,2017-12-03,KWY,KWY01,M,1.436,38.615,22.216,51.7747,-127.8801
NUT9602,2017-12-03,KWY,KWY01,M,1.775,38.422,22.395,51.7747,-127.8801
NUT9603,2017-12-03,KWY,KWY01,M,1.797,38.454,22.607,51.7747,-127.8801
NUT9614,2018-01-10,KWY,KWY01,M,0.794,29.510,12.098,51.7747,-127.8801
NUT9615,2018-01-10,KWY,KWY01,M,1.644,35.456,20.266,51.7747,-127.8801
NUT9616,2018-01-10,KWY,KWY01,M,1.561,35.324,20.191,51.7747,-127.8801
NUT9667,2018-02-16,KWY,KWY01,M,1.431,35.499,18.592,51.7747,-127.8801
NUT9668,2018-02-16,KWY,KWY01,M,1.504,35.598,18.874,51.7747,-127.8801
NUT9669,2018-02-16,KWY,KWY01,M,1.537,35.809,19.550,51.7747,-127.8801
NUT9800,2018-03-24,KWY,KWY01,M,0.305,19.949,1.502,51.7747,-127.8801
NUT9801,2018-03-24,KWY,KWY01,M,0.541,16.853,2.587,51.7747,-127.8801
NUT9802,2018-03-24,KWY,KWY01,M,0.643,19.688,4.135,51.7747,-127.8801
NUT9866,2018-04-22,KWY,KWY01,M,0.121,9.026,2.752,51.7747,-127.8801
NUT9867,2018-04-22,KWY,KWY01,M,0.802,15.421,8.461,51.7747,-127.8801
NUT9868,2018-04-22,KWY,KWY01,M,0.848,15.947,9.228,51.7747,-127.8801
NUT10005,2018-05-01,QCS_V2,MACRO1,M,0.630,9.593,4.208,51.8035,-128.2545
NUT10006,2018-05-01,QCS_V2,MACRO1,M,0.625,9.731,4.591,51.8035,-128.2545
NUT8237,2017-04-16,QCS_V2,MACRO1,M,0.506,5.934,3.568,51.8035,-128.2545
NUT8238,2017-04-16,QCS_V2,MACRO1,M,0.433,6.220,3.112,51.8035,-128.2545
NUT8528,2017-05-28,QCS_V2,MACRO1,M,0.270,6.319,0.858,51.8035,-128.2545
NUT8529,2017-05-28,QCS_V2,MACRO1,M,0.353,8.002,2.101,51.8035,-128.2545
NUT8592,2017-06-12,QCS_V2,MACRO1,M,0.267,3.068,0.699,51.8035,-128.2545
NUT8593,2017-06-12,QCS_V2,MACRO1,M,0.376,4.679,1.719,51.8035,-128.2545
NUT8695,2017-07-06,QCS_V2,MACRO1,M,0.072,0.592,0.052,51.8035,-128.2545
NUT8696,2017-07-06,QCS_V2,MACRO1,M,0.172,2.481,0.087,51.8035,-128.2545
NUT8738,2017-07-20,MACRO_MGEO,MACRO1,M,0.214,3.331,0.154,51.8035,-128.2545
NUT8739,2017-07-20,MACRO_MGEO,MACRO1,M,0.154,2.397,0.319,51.8035,-128.2545
NUT9411,2017-09-03,QCS_V2,MACRO1,M,0.433,9.463,1.306,51.8035,-128.2545
NUT9412,2017-09-03,QCS_V2,MACRO1,M,0.413,9.266,1.688,51.8035,-128.2545
NUT9503,2017-09-28,QCS_V2,MACRO1,M,0.670,14.681,3.805,51.8035,-128.2545
