Sample ID,Date,Survey,Site,Source,PO4,SiO2,NO3+NO2,Lat,Long
NUT8991,2017-09-06,RVRS,DFO2,M,2.289,52.577,29.074,51.5208,-127.5583
NUT8992,2017-09-06,RVRS,DFO2,M,2.338,54.627,29.664,51.5208,-127.5583
NUT8993,2017-09-06,RVRS,DFO2,M,2.322,56.202,25.354,51.5208,-127.5583
NUT9464,2017-09-24,RVRS,DFO2,M,1.373,30.220,15.217,51.5208,-127.5583
NUT9465,2017-09-24,RVRS,DFO2,M,1.659,33.337,18.129,51.5208,-127.5583
NUT9466,2017-09-24,RVRS,DFO2,M,1.763,35.195,19.121,51.5208,-127.5583
NUT9467,2017-09-24,RVRS,DFO2,M,1.792,35.875,19.572,51.5208,-127.5583
NUT9468,2017-09-24,RVRS,DFO2,M,1.872,37.879,20.584,51.5208,-127.5583
NUT9469,2017-09-24,RVRS,DFO2,M,1.928,40.015,21.509,51.5208,-127.5583
NUT9470,2017-09-24,RVRS,DFO2,M,2.127,45.174,26.954,51.5208,-127.5583
NUT9471,2017-09-24,RVRS,DFO2,M,2.308,49.190,29.131,51.5208,-127.5583
NUT9472,2017-09-24,RVRS,DFO2,M,2.331,50.852,26.125,51.5208,-127.5583
NUT9473,2017-09-24,RVRS,DFO2,M,2.307,51.873,26.512,51.5208,-127.5583
NUT9474,2017-09-24,RVRS,DFO2,M,2.335,52.855,29.590,51.5208,-127.5583
NUT9527,2018-03-31,RVRS,DFO2,M,0.000,7.767,0.084,51.5208,-127.5583
NUT9545,2018-03-31,RVRS,DFO2,M,0.905,19.097,10.551,51.5208,-127.5583
NUT9546,2018-03-31,RVRS,DFO2,M,1.344,28.211,16.257,51.5208,-127.5583
NUT9547,2018-03-31,RVRS,DFO2,M,1.491,31.764,18.377,51.5208,-127.5583
NUT9558,2017-10-14,RVRS,DFO2,M,0.558,24.198,8.896,51.5208,-127.5583
NUT9559,2017-10-14,RVRS,DFO2,M,1.306,25.414,16.404,51.5208,-127.5583
NUT9560,2017-10-14,RVRS,DFO2,M,1.680,31.217,21.423,51.5208,-127.5583
NUT9561,2017-10-14,RVRS,DFO2,M,1.916,36.876,24.429,51.5208,-127.5583
NUT9562,2017-10-14,RVRS,DFO2,M,2.015,40.581,26.180,51.5208,-127.5583
NUT9563,2017-10-14,RVRS,DFO2,M,2.332,50.475,30.077,51.5208,-127.5583
NUT9564,2017-10-14,RVRS,DFO2,M,2.395,53.059,30.918,51.5208,-127.5583
NUT9565,2017-10-14,RVRS,DFO2,M,2.384,54.907,30.126,51.5208,-127.5583
NUT9566,2018-03-31,RVRS,DFO2,M,1.466,32.342,18.716,51.5208,-127.5583
