event_pk,rn,date,work_area,organization,survey,sampling_bout,site,hakai_id,source,lat,long,line_out_depth,filter_type,volume,no2_no3_um,no2_no3_units,po4,sio2
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8412,M,51.705,-128.2384,0,0.45nm,13,0.273272739,uM,0.071052755,3.946972947
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8413,M,51.705,-128.2384,5,0.45nm,13,0.354315714,uM,0.127753255,3.992483722
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8414,M,51.705,-128.2384,10,0.45nm,13,0.502730138,uM,0.119571272,4.068711303
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8415,M,51.705,-128.2384,20,0.45nm,13,0.39681494,uM,0.100036681,3.870456698
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8416,M,51.705,-128.2384,30,0.45nm,13,0.449272891,uM,0.134137339,3.914975492
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8417,M,51.705,-128.2384,50,0.45nm,13,1.499020984,uM,0.256150925,5.4060551
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8418,M,51.705,-128.2384,100,0.45nm,13,8.331700456,uM,0.70499039,12.41955563
279943,1,2017-05-03,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8419,M,51.705,-128.2384,115,0.45nm,13,10.52839136,uM,0.847235832,13.9296262
280318,1,2017-05-05,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8420,M,51.6554,-128.0913,0,0.45nm,13,1.472529959,uM,0.239,6.955578564
280318,1,2017-05-05,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8421,M,51.6554,-128.0913,5,0.45nm,13,2.140069684,uM,0.348,7.728872049
280318,1,2017-05-05,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8422,M,51.6554,-128.0913,10,0.45nm,13,2.900020739,uM,0.389,8.113050312
280318,1,2017-05-05,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8423,M,51.6554,-128.0913,20,0.45nm,13,3.01800288,uM,0.455,8.614064139
280318,1,2017-05-05,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8424,M,51.6554,-128.0913,30,0.45nm,13,3.476380639,uM,0.46,9.225824006
280346,1,2017-05-06,CALVERT,HAKAI,QCS_V2,2,NBCH01,NUT8432,M,51.6678,-128.1433,0,0.45nm,13,1.145125361,uM,0.219373395,5.9822936
280348,1,2017-05-06,CALVERT,HAKAI,QCS_V2,2,WBCH01,NUT8437,M,51.6535,-128.1493,0,0.45nm,13,0.687080324,uM,0.216853596,5.992638706
280346,1,2017-05-06,CALVERT,HAKAI,QCS_V2,2,NBCH01,NUT8433,M,51.6678,-128.1433,5,0.45nm,13,1.043888874,uM,0.246530363,5.713733655
280348,1,2017-05-06,CALVERT,HAKAI,QCS_V2,2,WBCH01,NUT8438,M,51.6535,-128.1493,5,0.45nm,13,1.078334207,uM,0.220840961,6.053306391
280346,1,2017-05-06,CALVERT,HAKAI,QCS_V2,2,NBCH01,NUT8434,M,51.6678,-128.1433,10,0.45nm,13,1.277646376,uM,0.268511232,6.081131852
374105,1,2017-05-11,CALVERT,HAKAI,ROCKY,1,ROCKY02,NUT7688,M,,,0,0.45nm,13,0.207250752,uM,0.724911898,9.810411009
374108,1,2017-05-12,CALVERT,HAKAI,ROCKY,1,ROCKY06,NUT7689,M,,,0,0.45nm,13,0.040632691,uM,0.267322128,3.544602781
374112,1,2017-05-14,CALVERT,HAKAI,ROCKY,1,ROCKY05,NUT7686,M,,,0,0.45nm,13,0.673335205,uM,0.259394948,2.78664377
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8460,M,51.6554,-128.0913,0,0.45nm,13,0.022755535,uM,0,1.142864012
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8461,M,51.6554,-128.0913,5,0.45nm,13,1.974231155,uM,0.240179475,6.399362773
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8462,M,51.6554,-128.0913,10,0.45nm,13,5.292862127,uM,0.542432663,10.54685064
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8463,M,51.6554,-128.0913,20,0.45nm,13,7.708683254,uM,0.795999519,14.87814694
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8464,M,51.6554,-128.0913,30,0.45nm,13,10.77654173,uM,1.028163877,19.04187902
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8465,M,51.6554,-128.0913,40,0.45nm,13,13.48814472,uM,1.137757531,22.40378745
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8466,M,51.6554,-128.0913,50,0.45nm,13,15.32065889,uM,1.204444584,25.42777347
293623,1,2017-05-18,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8467,M,51.6554,-128.0913,60,0.45nm,13,18.21463971,uM,1.427911496,30.90150697
374115,1,2017-05-19,CALVERT,HAKAI,ROCKY,1,ROCKY04,NUT7698,M,,,0,0.45nm,13,0.319167182,uM,0.289433024,3.838533833
293863,1,2017-05-25,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8502,M,51.6554,-128.0913,0,0.45nm,13,0.899738639,uM,0.145711562,3.817647464
293863,1,2017-05-25,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8503,M,51.6554,-128.0913,5,0.45nm,13,1.552524403,uM,0.191791648,4.688894366
293863,1,2017-05-25,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8504,M,51.6554,-128.0913,10,0.45nm,13,10.62410552,uM,0.921574181,17.61811743
293863,1,2017-05-25,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8505,M,51.6554,-128.0913,20,0.45nm,13,15.81888805,uM,1.205951112,25.15206787
293863,1,2017-05-25,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8506,M,51.6554,-128.0913,30,0.45nm,13,16.94092002,uM,1.332334509,26.51437511
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8507,M,51.705,-128.2384,0,0.45nm,13,11.32106265,uM,0.924,22.14196886
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8508,M,51.705,-128.2384,5,0.45nm,13,11.36444344,uM,0.963,19.50589718
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8509,M,51.705,-128.2384,10,0.45nm,13,10.0176208,uM,0.865891151,17.37486228
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8510,M,51.705,-128.2384,20,0.45nm,13,8.708753649,uM,0.794867042,15.31826619
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8511,M,51.705,-128.2384,30,0.45nm,13,6.011197703,uM,0.680368514,11.0631371
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8512,M,51.705,-128.2384,50,0.45nm,13,13.00347269,uM,1.105308772,21.22800226
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8513,M,51.705,-128.2384,100,0.45nm,13,20.3729223,uM,1.556188168,32.52836256
294183,1,2017-05-27,CALVERT,HAKAI,QCS_V1,2,QCS01,NUT8514,M,51.705,-128.2384,115,0.45nm,13,21.86226646,uM,1.683260558,33.68966441
294176,1,2017-05-28,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8523,M,51.6678,-128.1433,0,0.45nm,13,2.874970137,uM,0.35452888,8.039522052
294179,1,2017-05-28,CALVERT,HAKAI,QCS_V2,1,WBCH01,NUT8530,M,51.6535,-128.1493,0,0.45nm,13,0.143365824,uM,0.136634227,1.929629743
294176,1,2017-05-28,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8524,M,51.6678,-128.1433,5,0.45nm,13,3.836170135,uM,0.381053814,8.706678469
294179,1,2017-05-28,CALVERT,HAKAI,QCS_V2,1,WBCH01,NUT8531,M,51.6535,-128.1493,5,0.45nm,13,0.23897383,uM,0.160577454,2.188984305
294176,1,2017-05-28,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8525,M,51.6678,-128.1433,10,0.45nm,13,5.74654386,uM,0.502915643,10.4456413
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8534,M,51.6554,-128.0913,0,0.45nm,13,0.082167518,uM,0.0001627,1.008982138
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8535,M,51.6554,-128.0913,5,0.45nm,13,,,,
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8536,M,51.6554,-128.0913,10,0.45nm,13,2.226504737,uM,0.28,3.556639697
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8537,M,51.6554,-128.0913,20,0.45nm,13,10.62161431,uM,0.971,16.98416773
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8538,M,51.6554,-128.0913,30,0.45nm,13,16.61821645,uM,1.393,27.53928478
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8539,M,51.6554,-128.0913,40,0.45nm,13,18.55340252,uM,1.382,31.28685147
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8540,M,51.6554,-128.0913,50,0.45nm,13,19.24583326,uM,1.579,32.74331822
294642,1,2017-06-07,CALVERT,HAKAI,KWAK_PP,1,PRUTH,NUT8541,M,51.6554,-128.0913,60,0.45nm,13,19.65169288,uM,1.645,33.99283934
374118,1,2017-06-07,CALVERT,HAKAI,ROCKY,1,ROCKY02,NUT7693,M,,,0,0.45nm,13,0.138869533,uM,0.278357524,4.000251021
374119,1,2017-06-08,CALVERT,HAKAI,ROCKY,1,ROCKY04,NUT7692,M,,,0,0.45nm,13,0.381352839,uM,0.24634248,5.392549377
374122,1,2017-06-09,CALVERT,HAKAI,ROCKY,1,ROCKY05,NUT7691,M,,,0,0.45nm,13,1.543894708,uM,0.232304521,6.469251631
295942,1,2017-06-12,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8594,M,51.6678,-128.1433,0,0.45nm,13,2.379489945,uM,0.346,7.086003295
295940,1,2017-06-12,CALVERT,HAKAI,QCS_V2,1,WBCH01,NUT8599,M,51.6535,-128.1493,0,0.45nm,13,2.78340629,uM,0.373260779,7.026261599
295942,1,2017-06-12,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8595,M,51.6678,-128.1433,5,0.45nm,13,5.467068321,uM,0.584,10.7265789
295940,1,2017-06-12,CALVERT,HAKAI,QCS_V2,1,WBCH01,NUT8600,M,51.6535,-128.1493,5,0.45nm,13,2.110737144,uM,0.381249162,6.546811071
295942,1,2017-06-12,CALVERT,HAKAI,QCS_V2,1,NBCH01,NUT8596,M,51.6678,-128.1433,10,0.45nm,13,6.218988347,uM,0.676800969,12.40397066
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8601,M,51.705,-128.2384,0,0.45nm,13,0.077186684,uM,0.036,0.017823093
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8602,M,51.705,-128.2384,5,0.45nm,13,0.033304706,uM,0.109,0.449571748
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8603,M,51.705,-128.2384,10,0.45nm,13,0.299240115,uM,0.149,1.092003389
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8604,M,51.705,-128.2384,20,0.45nm,13,3.634752969,uM,0.544,8.416510182
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8605,M,51.705,-128.2384,30,0.45nm,13,7.77504022,uM,0.755,12.75552502
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8607,M,51.705,-128.2384,50,0.45nm,13,15.29166889,uM,1.251,24.26062859
301500,1,2017-06-13,CALVERT,HAKAI,QCS_V1,1,QCS01,NUT8606,M,51.705,-128.2384,100,0.45nm,13,25.13406666,uM,1.879,39.03857245
