date,survey,sampling_bout,site,source,hakai_id,ppm,delta_13
2017-04-02,ROCKY,1,ROCKY02,M,DO13C2133,1.0142,-22.89
2017-04-02,ROCKY,2,ROCKY06,M,DO13C2134,1.015911111,-22.85
2017-04-02,ROCKY,3,ROCKY06,M,DO13C2135,1.007844444,-22.71
2017-04-02,ROCKY,3,ROCKY02,M,DO13C2136,1.000511111,-22.9
2017-04-02,ROCKY,1,ROCKY06,M,DO13C2137,0.813022222,-22.82
2017-04-02,ROCKY,2,ROCKY02,M,DO13C2138,0.771466667,-22.84
2017-04-03,ROCKY,1,ROCKY03,M,DO13C2139,1.063333333,-23.3
2017-04-03,ROCKY,3,ROCKY03,M,DO13C2143,1.0274,-22.69
2017-04-03,ROCKY,2,ROCKY03,M,DO13C2144,1.093155556,-23
2017-04-14,ROCKY,1,ROCKY05,M,DO13C2145,1.271844444,-23.28
2017-04-14,ROCKY,2,ROCKY05,M,DO13C2146,1.217577778,-22.6
2017-04-14,ROCKY,3,ROCKY05,M,DO13C2147,0.8624,-22.98
2017-05-11,ROCKY,2,ROCKY02,M,DO13C2148,2.033044444,-24.23
2017-05-11,ROCKY,3,ROCKY02,M,DO13C2154,3.034344444,-24.34
2017-05-11,ROCKY,1,ROCKY02,M,DO13C2155,2.254777778,-24.16
2017-05-12,ROCKY,2,ROCKY06,M,DO13C2149,1.012,-22.76
2017-05-12,ROCKY,1,ROCKY06,M,DO13C2150,1.249227778,-22.51
2017-05-12,ROCKY,3,ROCKY06,M,DO13C2151,0.912022222,-22.53
2017-05-14,ROCKY,3,ROCKY05,M,DO13C2252,0.923419444,-24.16
2017-05-14,ROCKY,2,ROCKY05,M,DO13C2253,0.985746667,-24.04
2017-05-14,ROCKY,1,ROCKY05,M,DO13C2254,0.945248333,-23.59
2017-05-19,ROCKY,2,ROCKY04,M,DO13C2244,1.158381944,-23.07
2017-05-19,ROCKY,3,ROCKY04,M,DO13C2245,1.411122778,-24.99
2017-05-19,ROCKY,1,ROCKY04,M,DO13C2246,1.200588889,-23.15
2017-06-07,ROCKY,2,ROCKY02,M,DO13C2234,0.676695556,-26.02
2017-06-07,ROCKY,3,ROCKY02,M,DO13C2235,1.16325,-23.74
2017-06-07,ROCKY,1,ROCKY02,M,DO13C2240,1.487380278,-23.63
2017-06-08,ROCKY,1,ROCKY04,M,DO13C2227,1.360428056,-24.4
2017-06-08,ROCKY,3,ROCKY04,M,DO13C2232,1.204897222,-23.98
2017-06-08,ROCKY,2,ROCKY04,M,DO13C2233,1.783362778,-29.1
2017-06-09,ROCKY,1,ROCKY05,M,DO13C2224,1.155447222,-23.7
2017-06-09,ROCKY,3,ROCKY05,M,DO13C2225,1.297957222,-24.05
2017-06-09,ROCKY,2,ROCKY05,M,DO13C2226,1.284601389,-24.21
2017-06-23,ROCKY,3,ROCKY02,M,DO13C2217,1.089977778,-21.98
2017-06-23,ROCKY,2,ROCKY02,M,DO13C2218,1.271725,-21.45
2017-06-23,ROCKY,1,ROCKY02,M,DO13C2219,1.326577778,-21.36
2017-06-25,ROCKY,2,ROCKY04,M,DO13C2203,1.2012,-22.8
2017-06-25,ROCKY,1,ROCKY04,M,DO13C2208,1.292705556,-22.59
2017-06-25,ROCKY,3,ROCKY04,M,DO13C2210,1.079613889,-21.99
2017-06-28,ROCKY,3,ROCKY05,M,DO13C2209,0.848827778,-23.07
2017-06-28,ROCKY,1,ROCKY05,M,DO13C2211,1.063688889,-22.69
2017-06-28,ROCKY,2,ROCKY05,M,DO13C2216,1.020211111,-22.76
2017-06-30,ROCKY,2,ROCKY07,M,DO13C2200,1.006561111,-23.14
2017-06-30,ROCKY,3,ROCKY07,M,DO13C2201,0.981030556,-22.34
2017-06-30,ROCKY,1,ROCKY07,M,DO13C2202,0.878402778,-22.61
2017-07-01,ROCKY,3,ROCKY06,M,DO13C2190,1.060908333,-22.48
2017-07-01,ROCKY,1,ROCKY06,M,DO13C2191,1.238105556,-21.99
2017-07-01,ROCKY,2,ROCKY06,M,DO13C2197,1.175416667,-22.49
2017-07-07,ROCKY,1,ROCKY03,M,DO13C2189,1.214597222,-22.47
2017-07-07,ROCKY,3,ROCKY03,M,DO13C2198,0.922638889,-22.73
2017-07-07,ROCKY,2,ROCKY03,M,DO13C2205,0.676180556,-22.33
2017-08-08,ROCKY,2,ROCKY05,M,DO13C2196,0.496708333,-22.06
2017-08-08,ROCKY,3,ROCKY05,M,DO13C2207,0.926683333,-22.3
2017-08-08,ROCKY,1,ROCKY05,M,DO13C2212,0.998977778,-22.25
2017-08-10,ROCKY,1,ROCKY04,M,DO13C2204,0.805097222,-22.66
2017-08-10,ROCKY,3,ROCKY04,M,DO13C2220,0.907472222,-21.73
2017-08-10,ROCKY,2,ROCKY04,M,DO13C2228,1.149750556,-22.58
