date,survey,sampling_bout,site,source,hakai_id,ppm,delta_13
2017-08-11,ROCKY,3,ROCKY02,M,DO13C2213,1.459791667,-21.2
2017-08-11,ROCKY,2,ROCKY02,M,DO13C2215,0.908483333,-21.49
2017-08-11,ROCKY,1,ROCKY02,M,DO13C2255,1.327541111,-21.93
2017-09-17,ROCKY,1,ROCKY06,M,DO13C2222,1.267621412,-23.35
2017-09-17,ROCKY,2,ROCKY06,M,DO13C2223,1.455268912,-23.54
2017-09-17,ROCKY,3,ROCKY06,M,DO13C2247,1.468404237,-23.01
2017-09-18,ROCKY,3,ROCKY07,M,DO13C2195,,
2017-09-18,ROCKY,1,ROCKY07,M,DO13C2199,0.997204444,-23.03
2017-09-18,ROCKY,2,ROCKY07,M,DO13C2221,1.210451473,-23.52
2017-09-19,ROCKY,2,ROCKY03,M,DO13C2192,0.987077778,-23.03
2017-09-19,ROCKY,1,ROCKY03,M,DO13C2194,1.0192,-22.49
2017-09-19,ROCKY,3,ROCKY03,M,DO13C2214,0.960182222,-23.21
2017-11-16,ROCKY,3,ROCKY03,M,DO13C2241,1.276503393,-22.44
2017-11-16,ROCKY,1,ROCKY03,M,DO13C2242,1.523322405,-22.36
2017-11-16,ROCKY,2,ROCKY03,M,DO13C2243,1.337676478,-22.53
2017-11-17,ROCKY,3,ROCKY07,M,DO13C2193,0.850313333,-23.22
2017-11-17,ROCKY,1,ROCKY07,M,DO13C2206,0.908568889,-22.71
2017-11-17,ROCKY,2,ROCKY07,M,DO13C2239,1.039692248,-23.08
2017-11-18,ROCKY,3,ROCKY06,M,DO13C2251,,-26.7
2017-11-18,ROCKY,1,ROCKY06,M,DO13C2258,,-26.8
2017-11-18,ROCKY,2,ROCKY06,M,DO13C2259,,-27.03
2018-02-14,ROCKY,1,ROCKY03,M,DO13C2248,1.321413695,-22.41
2018-02-14,ROCKY,2,ROCKY03,M,DO13C2249,1.121131263,-22.31
2018-02-14,ROCKY,3,ROCKY03,M,DO13C2250,1.13414149,-21.62
2018-02-16,ROCKY,3,ROCKY07,M,DO13C2256,,
2018-02-16,ROCKY,2,ROCKY07,M,DO13C2257,,
2018-02-16,ROCKY,3,ROCKY07,M,DO13C2260,,
2018-02-16,ROCKY,3,ROCKY06,M,DO13C2261,1.2384735,-22.53
2018-02-16,ROCKY,2,ROCKY06,M,DO13C2262,1.221335028,-22.36
2018-02-16,ROCKY,1,ROCKY06,M,DO13C2263,1.312281517,-22.45
2018-02-25,ROCKY,1,ROCKY04,M,DO13C2264,1.14239798,-22.45
2018-02-25,ROCKY,2,ROCKY04,M,DO13C2265,1.072843307,-22.81
2018-02-25,ROCKY,3,ROCKY04,M,DO13C2266,0.987150948,-21.98
2018-02-26,ROCKY,1,ROCKY05,M,DO13C2267,1.006329412,-23.36
2018-02-26,ROCKY,3,ROCKY05,M,DO13C2268,0.937317431,-22.97
2018-02-26,ROCKY,2,ROCKY05,M,DO13C2269,0.950916477,-23.28
2018-02-28,ROCKY,2,ROCKY02,M,DO13C2270,0.978877132,-23.2
2018-02-28,ROCKY,3,ROCKY02,M,DO13C2271,0.975826879,-23.11
2018-02-28,ROCKY,1,ROCKY02,M,DO13C2272,0.979258414,-22.75
2018-03-20,ROCKY,2,ROCKY02,M,DO13C2273,0.995018056,-23.53
2018-03-20,ROCKY,3,ROCKY02,M,DO13C2274,0.977479099,-23.02
2018-03-20,ROCKY,1,ROCKY02,M,DO13C2275,0.981037728,-22.36
2018-03-21,ROCKY,1,ROCKY05,M,DO13C2276,1.078518741,-23.39
2018-03-21,ROCKY,2,ROCKY05,M,DO13C2277,0.944688876,-22.86
2018-03-21,ROCKY,3,ROCKY05,M,DO13C2278,0.949010068,-23.1
2018-03-22,ROCKY,1,ROCKY04,M,DO13C2279,0.924480948,-23.21
2018-03-22,ROCKY,2,ROCKY04,M,DO13C2280,0.978750038,-23.39
2018-03-22,ROCKY,3,ROCKY04,M,DO13C2292,0.952568697,-23.27
2018-04-03,ROCKY,3,ROCKY02,M,DO13C2289,1.085886111,-23.06
2018-04-03,ROCKY,2,ROCKY02,M,DO13C2290,1.301328889,-23.59
2018-04-03,ROCKY,1,ROCKY02,M,DO13C2291,1.040418889,-23.02
2018-04-04,ROCKY,3,ROCKY05,M,DO13C2286,1.068293889,-23.27
2018-04-04,ROCKY,1,ROCKY05,M,DO13C2287,1.084151667,-23.25
2018-04-04,ROCKY,2,ROCKY05,M,DO13C2288,1.160715,-23.45
2018-04-05,ROCKY,1,ROCKY04,M,DO13C2283,1.1,-23.42
2018-04-05,ROCKY,2,ROCKY04,M,DO13C2284,1,-22.98
2018-04-05,ROCKY,3,ROCKY04,M,DO13C2285,1.046613333,-23.16
2018-04-20,ROCKY,3,ROCKY02,M,DO13C2297,0.785125,-22.86
2018-04-20,ROCKY,1,ROCKY02,M,DO13C2298,0.854486111,-23.09
2018-04-20,ROCKY,2,ROCKY02,M,DO13C2299,0.800708333,-22.88
2018-04-21,ROCKY,1,ROCKY04,M,DO13C2281,0.845,-23.19
2018-04-21,ROCKY,3,ROCKY04,M,DO13C2282,0.877,-22.76
2018-04-21,ROCKY,2,ROCKY04,M,DO13C3100,0.834625,-23.11
2018-04-22,ROCKY,1,ROCKY05,M,DO13C2294,0.778708333,-23.68
2018-04-22,ROCKY,3,ROCKY05,M,DO13C2295,0.728138889,-23.69
2018-04-22,ROCKY,2,ROCKY05,M,DO13C2296,0.736541667,-23.65
2018-04-26,ROCKY,1,ROCKY08,M,DO13C2293,1.026972222,-23.36
2018-04-26,ROCKY,2,ROCKY08,M,DO13C3101,1.004972222,-23.03
2018-04-26,ROCKY,3,ROCKY08,M,DO13C3102,1.050958333,-23.44
2018-04-30,ROCKY,1,ROCKY02,M,DO13C3103,0.992138889,-22.33
2018-04-30,ROCKY,2,ROCKY02,M,DO13C3104,0.79475,-21.98
2018-04-30,ROCKY,3,ROCKY02,M,DO13C3105,0.880305556,-21.82
2018-05-01,ROCKY,1,ROCKY05,M,DO13C3109,0.793833333,-22.11
2018-05-01,ROCKY,2,ROCKY05,M,DO13C3110,0.754722222,-23.09
2018-05-01,ROCKY,3,ROCKY05,M,DO13C3111,0.757777778,-22.51
2018-05-02,ROCKY,1,ROCKY04,M,DO13C3106,1.008638889,-21.77
2018-05-02,ROCKY,2,ROCKY04,M,DO13C3107,0.872361111,-21.79
2018-05-02,ROCKY,3,ROCKY04,M,DO13C3108,0.837833333,-22.08
2018-05-14,ROCKY,1,ROCKY09,M,DO13C3112,1.111,-22.28
2018-05-14,ROCKY,2,ROCKY09,M,DO13C3113,0.953180556,-21.95
2018-05-14,ROCKY,3,ROCKY09,M,DO13C3114,0.954097222,-22.45
2018-05-15,ROCKY,1,ROCKY02,M,DO13C3115,1.058138889,-21.64
2018-05-15,ROCKY,2,ROCKY02,M,DO13C3116,1.024833333,-21.6
2018-05-15,ROCKY,3,ROCKY02,M,DO13C3117,1.036291667,-21.58
2018-05-16,ROCKY,1,ROCKY04,M,DO13C3121,1.002375,-20.97
2018-05-16,ROCKY,2,ROCKY04,M,DO13C3122,0.912847222,-22.02
2018-05-16,ROCKY,3,ROCKY04,M,DO13C3123,1.021930556,-22.4
2018-05-17,ROCKY,3,ROCKY05,M,DO13C3118,1.160652778,-21.63
2018-05-17,ROCKY,2,ROCKY05,M,DO13C3119,1.016430556,-22.4
2018-05-17,ROCKY,1,ROCKY05,M,DO13C3120,1.116805556,-21.86
2018-05-19,ROCKY,3,ROCKY06,M,DO13C3124,1.386927435,-24.32
2018-05-19,ROCKY,1,ROCKY06,M,DO13C3125,1.430483785,-23.61
2018-05-19,ROCKY,2,ROCKY06,M,DO13C3126,1.437448079,-22.94
2018-05-20,ROCKY,1,ROCKY03,M,DO13C3127,1.51063219,-24.73
2018-05-20,ROCKY,3,ROCKY03,M,DO13C3128,1.544391313,-25.2
2018-05-20,ROCKY,2,ROCKY03,M,DO13C3129,1.396488585,-25.06
2018-05-21,ROCKY,2,ROCKY07,M,DO13C3138,1.316930374,-23.48
2018-05-21,ROCKY,1,ROCKY07,M,DO13C3139,1.129366579,-24.06
2018-05-21,ROCKY,3,ROCKY07,M,DO13C3140,1.256494463,-23.23
2018-06-02,ROCKY,3,ROCKY02,M,DO13C3130,1.828156801,-23.93
2018-06-02,ROCKY,2,ROCKY02,M,DO13C3131,1.84102304,-24.61
2018-06-02,ROCKY,1,ROCKY02,M,DO13C3132,1.837717951,-24.63
2018-06-04,ROCKY,1,ROCKY05,M,DO13C3133,1.848341451,-24.56
2018-06-04,ROCKY,2,ROCKY05,M,DO13C3134,1.880684107,-24.56
2018-06-04,ROCKY,3,ROCKY05,M,DO13C3135,1.845862635,-24.45
2018-06-05,ROCKY,1,ROCKY04,M,DO13C3136,1.504730246,-22.84
2018-06-05,ROCKY,3,ROCKY04,M,DO13C3137,1.476046796,-23.05
2018-06-05,ROCKY,2,ROCKY04,M,DO13C3141,1.333691896,-23.04
2018-06-14,ROCKY,2,ROCKY06,M,DO13C3151,1.489031074,-23.43
2018-06-14,ROCKY,1,ROCKY06,M,DO13C3152,1.60411899,-23.69
2018-06-14,ROCKY,3,ROCKY06,M,DO13C3153,1.500126729,-23.34
2018-06-15,ROCKY,1,ROCKY03,M,DO13C3143,1.27903989,-23.82
2018-06-15,ROCKY,2,ROCKY03,M,DO13C3144,1.294502985,-23.78
2018-06-15,ROCKY,3,ROCKY03,M,DO13C3145,1.242801951,-23.86
2018-06-16,ROCKY,2,ROCKY07,M,DO13C3146,1.705514396,-21.39
2018-06-16,ROCKY,3,ROCKY07,M,DO13C3147,1.641537318,-21.67
2018-06-16,ROCKY,1,ROCKY07,M,DO13C3148,1.882572729,-21.08
2018-07-23,ROCKY,3,ROCKY04,M,DO13C3142,1.633214733,-22.03
2018-07-23,ROCKY,1,ROCKY04,M,DO13C3149,1.693376227,-21.98
2018-07-25,ROCKY,2,ROCKY02,M,DO13C3155,1.773915,-22.18
2018-07-25,ROCKY,1,ROCKY02,M,DO13C3156,1.95367172,-23.03
2018-07-25,ROCKY,3,ROCKY02,M,DO13C3159,1.644131133,-22.21
2018-07-26,ROCKY,2,ROCKY05,M,DO13C3154,1.746017533,-23.08
2018-07-26,ROCKY,1,ROCKY05,M,DO13C3157,1.875316227,-22.82
2018-07-26,ROCKY,3,ROCKY05,M,DO13C3158,1.62326868,-23
2018-08-11,ROCKY,1,ROCKY07,M,DO13C3160,1.47677919,-24.09
2018-08-11,ROCKY,2,ROCKY07,M,DO13C3161,1.279625737,-23.93
2018-08-11,ROCKY,3,ROCKY07,M,DO13C3162,1.671021094,-28.11
2018-08-12,ROCKY,2,ROCKY03,M,DO13C3166,2.365633472,-32.56
2018-08-12,ROCKY,3,ROCKY03,M,DO13C3167,2.480223718,-33.18
2018-08-12,ROCKY,1,ROCKY03,M,DO13C3168,2.358770536,-32.32
2018-08-13,ROCKY,1,ROCKY06,M,DO13C3163,2.325703659,-31.5
2018-08-13,ROCKY,2,ROCKY06,M,DO13C3164,2.394540993,-31.92
2018-08-13,ROCKY,3,ROCKY06,M,DO13C3165,2.254578679,-31.31
2018-08-14,ROCKY,1,ROCKY02,M,DO13C3169,1.282655156,-21.49
2018-08-14,ROCKY,2,ROCKY02,M,DO13C3170,1.27444433,-20.8
2018-08-14,ROCKY,3,ROCKY02,M,DO13C3171,1.267188251,-21.56
2018-08-15,ROCKY,1,ROCKY05,M,DO13C3172,1.053324873,-22.68
2018-08-15,ROCKY,2,ROCKY05,M,DO13C3173,1.051606328,-22.6
2018-08-15,ROCKY,3,ROCKY05,M,DO13C3174,1.056571013,-23.45
2018-08-16,ROCKY,1,ROCKY04,M,DO13C3175,1.248284256,-24.81
2018-08-16,ROCKY,2,ROCKY04,M,DO13C3176,1.502628916,-27.4
2018-08-16,ROCKY,3,ROCKY04,M,DO13C3177,1.914888766,-31.32
2018-09-11,ROCKY,3,ROCKY02,M,DO13C3178,1.933983711,-30.2
2018-09-11,ROCKY,2,ROCKY02,M,DO13C3179,2.394171872,-32.89
2018-09-11,ROCKY,1,ROCKY02,M,DO13C3180,2.018192416,-30.44
2018-09-11,ROCKY,2,ROCKY07,M,DO13C3181,2.335932291,-32.02
2018-09-11,ROCKY,3,ROCKY07,M,DO13C3182,2.316837347,-31.64
2018-09-11,ROCKY,1,ROCKY07,M,DO13C3183,2.339178432,-31.32
2018-09-12,ROCKY,2,ROCKY05,M,DO13C3184,2.431788912,-33.07
2018-09-12,ROCKY,1,ROCKY05,M,DO13C3185,2.663410588,-33.49
2018-09-12,ROCKY,3,ROCKY05,M,DO13C3186,1.423384896,-27.5
2018-09-13,ROCKY,1,ROCKY04,M,DO13C3187,1.255540335,-24.56
2018-09-13,ROCKY,2,ROCKY04,M,DO13C3188,1.179351506,-25.03
2018-09-13,ROCKY,3,ROCKY04,M,DO13C3189,1.044541198,-21.82
2018-09-13,ROCKY,3,ROCKY03,M,DO13C3190,0.963960533,-22.32
2018-09-13,ROCKY,2,ROCKY03,M,DO13C3191,0.992030101,-23.16
2018-09-13,ROCKY,1,ROCKY03,M,DO13C3192,1.013798338,-23.3
2018-09-13,ROCKY,2,ROCKY06,M,DO13C3193,1.215631901,-25.56
2018-09-13,ROCKY,1,ROCKY06,M,DO13C3194,1.84481032,-29.96
2018-09-13,ROCKY,3,ROCKY06,M,DO13C3195,2.091135103,-31.68
2018-10-10,ROCKY,1,ROCKY02,M,DO13C3196,,
2018-10-10,ROCKY,2,ROCKY02,M,DO13C3197,,
2018-10-10,ROCKY,3,ROCKY02,M,DO13C3198,2.008072095,-29.41
2018-10-11,ROCKY,1,ROCKY05,M,DO13C3199,2.149565633,-32.42
2018-10-11,ROCKY,3,ROCKY05,M,DO13C3298,2.346052612,-33.12
2018-10-11,ROCKY,2,ROCKY05,M,DO13C3299,1.966254167,-31.6
2018-10-12,ROCKY,1,ROCKY04,M,DO13C3200,,
2018-10-12,ROCKY,2,ROCKY04,M,DO13C3201,2.208950911,-31.74
2018-10-12,ROCKY,3,ROCKY04,M,DO13C3202,,
2018-11-20,ROCKY,3,ROCKY05,M,DO13C3203,1.9,-28.1
2018-11-20,ROCKY,1,ROCKY05,M,DO13C3204,1.9,-28.8
2018-11-20,ROCKY,2,ROCKY05,M,DO13C3205,1.6,-27.2
2018-11-21,ROCKY,1,ROCKY02,M,DO13C3206,1.458019006,-26.41
2018-11-21,ROCKY,2,ROCKY02,M,DO13C3207,1.58890414,-27.99
2018-11-21,ROCKY,3,ROCKY02,M,DO13C3208,1.63778895,-28.18
2018-11-22,ROCKY,1,ROCKY04,M,DO13C3209,1.605659015,-27.7
2018-11-22,ROCKY,2,ROCKY04,M,DO13C3210,1.587524327,-28.55
2018-11-22,ROCKY,3,ROCKY04,M,DO13C3211,1.038752919,-22.66
2018-11-22,ROCKY,1,ROCKY07,M,DO13C3212,1.192503529,-23.26
2018-11-22,ROCKY,2,ROCKY07,M,DO13C3213,1.086257915,-23.64
2018-11-22,ROCKY,3,ROCKY07,M,DO13C3214,1.118979199,-23.9
2018-11-23,ROCKY,1,ROCKY03,M,DO13C3215,1.089806006,-24.26
2018-11-23,ROCKY,2,ROCKY03,M,DO13C3216,1.073248248,-24.41
2018-11-23,ROCKY,3,ROCKY03,M,DO13C3217,1.057676071,-24.75
2018-11-24,ROCKY,1,ROCKY06,M,DO13C3218,1.8,-25.7
2018-11-24,ROCKY,2,ROCKY06,M,DO13C3219,,
2018-11-24,ROCKY,3,ROCKY06,M,DO13C3220,3.3,-20.9
2019-01-20,ROCKY,2,ROCKY04,M,DO13C3230,,
2019-01-20,ROCKY,1,ROCKY04,M,DO13C3231,,
2019-01-20,ROCKY,3,ROCKY04,M,DO13C3232,,
2019-01-22,ROCKY,3,ROCKY02,M,DO13C3233,,
2019-01-22,ROCKY,1,ROCKY02,M,DO13C3234,,
2019-01-22,ROCKY,2,ROCKY02,M,DO13C3235,,
2019-01-24,ROCKY,2,ROCKY05,M,DO13C3221,,
2019-01-24,ROCKY,1,ROCKY05,M,DO13C3222,,
2019-01-24,ROCKY,3,ROCKY05,M,DO13C3223,,
2019-02-15,ROCKY,1,ROCKY05,M,DO13C3245,2.170464534,-30.95
2019-02-15,ROCKY,2,ROCKY05,M,DO13C3246,2.442747924,-31.66
2019-02-15,ROCKY,3,ROCKY05,M,DO13C3247,1.140955074,-23.86
2019-02-16,ROCKY,1,ROCKY04,M,DO13C3224,1.548165594,-27.61
2019-02-16,ROCKY,2,ROCKY04,M,DO13C3225,1.248940944,-25.57
2019-02-16,ROCKY,3,ROCKY04,M,DO13C3226,1.324464804,-26.04
2019-02-20,ROCKY,1,ROCKY02,M,DO13C3227,1.449896244,-26.11
2019-02-20,ROCKY,2,ROCKY02,M,DO13C3228,1.483904064,-27.62
2019-02-20,ROCKY,3,ROCKY02,M,DO13C3229,1.584602544,-26.87
2019-02-20,ROCKY,1,ROCKY03,M,DO13C3239,2.025600054,-29.81
2019-02-20,ROCKY,2,ROCKY03,M,DO13C3240,1.957805244,-29.65
2019-02-20,ROCKY,3,ROCKY03,M,DO13C3241,1.761487374,-28.86
2019-02-20,ROCKY,1,ROCKY07,M,DO13C3242,1.548386424,-23.26
2019-02-20,ROCKY,2,ROCKY07,M,DO13C3243,1.934176434,-29.55
2019-02-20,ROCKY,3,ROCKY07,M,DO13C3244,1.948530384,-29.53
2019-02-21,ROCKY,1,ROCKY06,M,DO13C3236,2.138885844,-30.64
2019-02-21,ROCKY,2,ROCKY06,M,DO13C3237,2.223905394,-30.97
2019-02-21,ROCKY,3,ROCKY06,M,DO13C3238,2.089419924,-30.84
2019-03-22,ROCKY,3,ROCKY02,M,DO13C3269,1.454382222,-26.55
2019-03-22,ROCKY,2,ROCKY02,M,DO13C3270,1.666275556,-26.96
2019-03-22,ROCKY,1,ROCKY02,M,DO13C3271,1.577084444,-23.2
2019-03-23,ROCKY,3,ROCKY04,M,DO13C3263,1.051733333,-24.41
2019-03-23,ROCKY,2,ROCKY04,M,DO13C3264,1.571542222,-24.44
2019-03-23,ROCKY,1,ROCKY04,M,DO13C3265,1.653386667,-24.47
2019-03-24,ROCKY,2,ROCKY05,M,DO13C3266,1.555431111,-25.67
2019-03-24,ROCKY,3,ROCKY05,M,DO13C3267,1.800964444,-26.48
2019-03-24,ROCKY,1,ROCKY05,M,DO13C3268,1.732395556,-26.15
2019-04-24,ROCKY,1,ROCKY04,M,DO13C3253,1.192208333,-22.68
2019-04-24,ROCKY,3,ROCKY04,M,DO13C3256,1.119191667,-22.92
2019-04-24,ROCKY,2,ROCKY04,M,DO13C3257,1.018658333,-22.15
2019-04-25,ROCKY,1,ROCKY05,M,DO13C3252,1.2168,-22.25
2019-04-25,ROCKY,3,ROCKY05,M,DO13C3255,1.068491667,-22.81
2019-04-25,ROCKY,2,ROCKY05,M,DO13C3259,1.150283333,-21.86
2019-04-26,ROCKY,1,ROCKY02,M,DO13C3251,1.095575,-22.54
2019-04-26,ROCKY,3,ROCKY02,M,DO13C3254,1.095033333,-22.89
2019-04-26,ROCKY,2,ROCKY02,M,DO13C3258,1.029925,-23.11
2019-04-27,ROCKY,3,ROCKY08,M,DO13C3248,1.039025,-23.58
2019-04-27,ROCKY,2,ROCKY08,M,DO13C3249,1.125366667,-23.65
2019-04-27,ROCKY,1,ROCKY08,M,DO13C3250,1.065458333,-23.28
2019-05-18,ROCKY,3,ROCKY02,M,DO13C3275,,
2019-05-18,ROCKY,2,ROCKY02,M,DO13C3276,,
2019-05-18,ROCKY,1,ROCKY02,M,DO13C3377,,
2019-05-19,ROCKY,1,ROCKY05,M,DO13C3260,,
2019-05-19,ROCKY,2,ROCKY05,M,DO13C3261,,
2019-05-19,ROCKY,3,ROCKY05,M,DO13C3262,,
2019-05-20,ROCKY,3,ROCKY04,M,DO13C3272,,
2019-05-20,ROCKY,2,ROCKY04,M,DO13C3273,,
2019-05-20,ROCKY,1,ROCKY04,M,DO13C3274,,
2019-05-20,ROCKY,3,ROCKY03,M,DO13C3284,,
2019-05-20,ROCKY,2,ROCKY03,M,DO13C3285,,
2019-05-20,ROCKY,1,ROCKY03,M,DO13C3286,,
2019-05-22,ROCKY,3,ROCKY07,M,DO13C3281,,
2019-05-22,ROCKY,2,ROCKY07,M,DO13C3282,,
2019-05-22,ROCKY,1,ROCKY07,M,DO13C3283,,
2019-05-23,ROCKY,3,ROCKY06,M,DO13C3278,,
2019-05-23,ROCKY,2,ROCKY06,M,DO13C3279,,
2019-05-23,ROCKY,1,ROCKY06,M,DO13C3280,,
2019-05-24,ROCKY,1,ROCKY09,M,DO13C3287,,
2019-05-24,ROCKY,3,ROCKY09,M,DO13C3288,,
2019-05-24,ROCKY,2,ROCKY09,M,DO13C3289,,
2019-06-04,ROCKY,1,ROCKY02,M,DO13C3296,,-15.86
2019-06-04,ROCKY,2,ROCKY02,M,DO13C3297,5.336647625,-15.65
2019-06-04,ROCKY,3,ROCKY02,M,DO13C3798,4.048624663,-16.02
2019-06-05,ROCKY,1,ROCKY05,M,DO13C3293,1.281680308,-21.99
2019-06-05,ROCKY,3,ROCKY05,M,DO13C3294,1.192264349,-21.34
2019-06-05,ROCKY,2,ROCKY05,M,DO13C3295,1.239292812,-20.82
2019-06-06,ROCKY,1,ROCKY04,M,DO13C3290,1.137500942,-21.17
2019-06-06,ROCKY,3,ROCKY04,M,DO13C3291,1.215159785,-21.87
2019-06-06,ROCKY,2,ROCKY04,M,DO13C3292,1.405130022,-22.03
2019-06-15,ROCKY,1,ROCKY03,M,DO13C3814,1.129245536,-22.9
2019-06-15,ROCKY,2,ROCKY03,M,DO13C3815,1.107247247,-22.26
2019-06-15,ROCKY,3,ROCKY03,M,DO13C3816,1.179782148,-21.95
2019-06-16,ROCKY,1,ROCKY06,M,DO13C3811,1.389657722,-22.2
2019-06-16,ROCKY,2,ROCKY06,M,DO13C3812,1.342688401,-21.83
2019-06-16,ROCKY,3,ROCKY06,M,DO13C3813,1.189294922,-21.82
2019-06-17,ROCKY,1,ROCKY07,M,DO13C3808,1.348039336,-19.67
2019-06-17,ROCKY,2,ROCKY07,M,DO13C3809,1.19702405,-22.26
2019-06-17,ROCKY,3,ROCKY07,M,DO13C3810,1.111409085,-22.6
2019-06-21,ROCKY,3,ROCKY02,M,DO13C3802,1.132812827,-21.39
2019-06-21,ROCKY,1,ROCKY02,M,DO13C3805,1.452679849,-22.29
2019-06-21,ROCKY,2,ROCKY02,M,DO13C3807,1.384306787,-21.84
2019-06-22,ROCKY,2,ROCKY05,M,DO13C3799,1.227940566,-22.43
2019-06-22,ROCKY,1,ROCKY05,M,DO13C3800,1.878376482,-26.25
2019-06-22,ROCKY,3,ROCKY05,M,DO13C3803,1.51451288,-24.56
2019-06-23,ROCKY,1,ROCKY04,M,DO13C3801,1.305231854,-24.42
2019-06-23,ROCKY,2,ROCKY04,M,DO13C3804,1.549591234,-22.2
2019-06-23,ROCKY,3,ROCKY04,M,DO13C3806,1.395008657,-18.77
